format=0 tracks=1 division=480

BA    2   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA    2   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA    2   CR         3   TR  0   CH  3   NT  B--          9/40
BA    2   CR         3   TR  0   CH 10   NT  F#--         1/48
BA    2   CR         3   TR  0   CH 10   NT  D--          1/48
BA    2   CR     3+1/4   TR  0   CH  3   NT  A-           9/40
BA    2   CR     3+1/2   TR  0   CH  1   NT  A            9/20
BA    2   CR     3+1/2   TR  0   CH  3   NT  E-           9/40
BA    2   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA    2   CR     3+3/4   TR  0   CH  3   NT  A-           9/40

BA    3   CR         0   TR  0   CH  1   NT  G#           9/40
BA    3   CR         0   TR  0   CH  2   NT  E            9/40
BA    3   CR         0   TR  0   CH  3   NT  E-           9/20
BA    3   CR         0   TR  0   CH 10   NT  C--          1/48
BA    3   CR         0   TR  0   CH 10   NT  F#--         1/48
BA    3   CR         0   TR  0   CH 10   NT  D--          1/48
BA    3   CR       1/4   TR  0   CH  1   NT  G#           9/40
BA    3   CR       1/4   TR  0   CH  2   NT  E            9/40
BA    3   CR       1/2   TR  0   CH  1   NT  F#           9/40
BA    3   CR       1/2   TR  0   CH  2   NT  D            9/40
BA    3   CR       1/2   TR  0   CH  3   NT  G#-          9/40
BA    3   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA    3   CR       3/4   TR  0   CH  1   NT  G#           9/40
BA    3   CR       3/4   TR  0   CH  2   NT  E            9/40
BA    3   CR         1   TR  0   CH  3   NT  B-           9/20
BA    3   CR         1   TR  0   CH 10   NT  F#--         1/48
BA    3   CR         1   TR  0   CH 10   NT  D--          1/48
BA    3   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA    3   CR     1+1/2   TR  0   CH  1   NT  G#           9/20
BA    3   CR     1+1/2   TR  0   CH  2   NT  E            9/20
BA    3   CR     1+1/2   TR  0   CH  3   NT  E-           9/40
BA    3   CR     1+3/4   TR  0   CH  3   NT  E-           7/10
BA    3   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA    3   CR         2   TR  0   CH 10   NT  C--          1/48
BA    3   CR         2   TR  0   CH 10   NT  F#--         1/48
BA    3   CR     2+1/2   TR  0   CH  1   NT  F#           9/10
BA    3   CR     2+1/2   TR  0   CH  3   NT  B--          9/10
BA    3   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA    3   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA    3   CR         3   TR  0   CH 10   NT  F#--         1/48
BA    3   CR         3   TR  0   CH 10   NT  D--          1/48
BA    3   CR     3+1/2   TR  0   CH  1   NT  G#           9/20
BA    3   CR     3+1/2   TR  0   CH  3   NT  G#--         9/20
BA    3   CR     3+1/2   TR  0   CH 10   NT  C--          1/48

BA    4   CR         0   TR  0   CH  1   NT  A            9/40
BA    4   CR         0   TR  0   CH  2   NT  E            9/40
BA    4   CR         0   TR  0   CH  3   NT  A--          9/20
BA    4   CR         0   TR  0   CH 10   NT  C--          1/48
BA    4   CR         0   TR  0   CH 10   NT  F#--         1/48
BA    4   CR         0   TR  0   CH 10   NT  D--          1/48
BA    4   CR       1/4   TR  0   CH  1   NT  A            9/40
BA    4   CR       1/4   TR  0   CH  2   NT  E            9/40
BA    4   CR       1/2   TR  0   CH  1   NT  G            9/40
BA    4   CR       1/2   TR  0   CH  2   NT  D            9/40
BA    4   CR       1/2   TR  0   CH  3   NT  G-           9/40
BA    4   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA    4   CR       3/4   TR  0   CH  1   NT  A            9/40
BA    4   CR       3/4   TR  0   CH  2   NT  E            9/40
BA    4   CR         1   TR  0   CH  3   NT  E-           9/20
BA    4   CR         1   TR  0   CH 10   NT  F#--         1/48
BA    4   CR         1   TR  0   CH 10   NT  D--          1/48
BA    4   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA    4   CR     1+1/2   TR  0   CH  1   NT  A            9/20
BA    4   CR     1+1/2   TR  0   CH  2   NT  E            9/20
BA    4   CR     1+1/2   TR  0   CH  3   NT  A--          9/40
BA    4   CR     1+3/4   TR  0   CH  3   NT  A--         19/40
BA    4   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA    4   CR         2   TR  0   CH 10   NT  C--          1/48
BA    4   CR         2   TR  0   CH 10   NT  F#--         1/48
BA    4   CR     2+1/4   TR  0   CH  3   NT  G--          9/40
