format=1 tracks=8 division=240

BA   10   CR         1   TR  1   CH 10   NT  E--           4/5
BA   10   CR         1   TR  3   CH  2   NT  C'            4/5
BA   10   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   10   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   10   CR         2   TR  1   CH 10   NT  C--          8/15
BA   10   CR         2   TR  3   CH  2   NT  Bb        113/240
BA   10   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   10   CR         3   TR  1   CH 10   NT  E--           4/5
BA   10   CR         3   TR  3   CH  2   NT  G             4/5
BA   10   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   11   CR         0   TR  1   CH 10   NT  C--           4/5
BA   11   CR         0   TR  2   CH  1   NT  C-            2/5
BA   11   CR         0   TR  3   CH  2   NT  C'            4/5
BA   11   CR         1   TR  1   CH 10   NT  E--           4/5
BA   11   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   11   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   11   CR         2   TR  1   CH 10   NT  C--          8/15
BA   11   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   11   CR         3   TR  1   CH 10   NT  E--           4/5
BA   11   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   12   CR         0   TR  1   CH 10   NT  C--           4/5
BA   12   CR         0   TR  2   CH  1   NT  C-            2/5
BA   12   CR         1   TR  1   CH 10   NT  E--           4/5
BA   12   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   12   CR   1+23/24   TR  2   CH  1   NT  Bb--          2/5
BA   12   CR         2   TR  1   CH 10   NT  C--          8/15
BA   12   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   12   CR         3   TR  1   CH 10   NT  E--          8/15
BA   12   CR     3+2/3   TR  1   CH 10   NT  E--          4/15
BA   12   CR   3+17/24   TR  2   CH  1   NT  Bb--         4/15

BA   13   CR         0   TR  1   CH 10   NT  C--           4/5
BA   13   CR         0   TR  2   CH  1   NT  C-            2/5
BA   13   CR         0   TR  3   CH  2   NT  C'          1+1/5
BA   13   CR         0   TR  6   CH  4   NT  E             2/5   von=90
BA   13   CR         0   TR  6   CH  4   NT  G             2/5
BA   13   CR         0   TR  6   CH  4   NT  C             2/5
BA   13   CR         1   TR  1   CH 10   NT  E--           4/5
BA   13   CR         1   TR  6   CH  4   NT  G             4/5
BA   13   CR         1   TR  6   CH  4   NT  C             4/5
BA   13   CR         1   TR  6   CH  4   NT  E             4/5
BA   13   CR     1+1/2   TR  3   CH  2   NT  D'            2/5
BA   13   CR     1+5/8   TR  2   CH  1   NT  C-           4/15
BA   13   CR   1+23/24   TR  2   CH  1   NT  C-            2/5
BA   13   CR         2   TR  1   CH 10   NT  C--          8/15
BA   13   CR         2   TR  3   CH  2   NT  E'        113/240
BA   13   CR         2   TR  6   CH  4   NT  C             2/5
BA   13   CR         2   TR  6   CH  4   NT  E             2/5
BA   13   CR         2   TR  6   CH  4   NT  G             2/5
BA   13   CR     2+2/3   TR  1   CH 10   NT  C--          4/15
BA   13   CR         3   TR  1   CH 10   NT  E--           4/5
BA   13   CR         3   TR  3   CH  2   NT  G'            4/5
BA   13   CR         3   TR  6   CH  4   NT  G             4/5
BA   13   CR         3   TR  6   CH  4   NT  E             4/5
BA   13   CR         3   TR  6   CH  4   NT  C             4/5
BA   13   CR   3+17/24   TR  2   CH  1   NT  C-           4/15

BA   14   CR         0   TR  1   CH 10   NT  C--           4/5
BA   14   CR         0   TR  2   CH  1   NT  Bb--          2/5
BA   14   CR         0   TR  3   CH  2   NT  F'            2/5
BA   14   CR         0   TR  6   CH  4   NT  D             2/5
