format=1 tracks=17 division=960

BA    4   CR         2   TR  1   CH  1   NT  D#-           1/2
BA    4   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    4   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    4   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    4   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    4   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    4   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    4   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    4   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    5   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    5   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    5   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    5   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    5   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    5   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    5   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    5   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    5   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR         2   TR  1   CH  1   NT  B#--          1/2
BA    5   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    5   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    5   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    5   CR         3   TR  1   CH  1   NT  F#''          1/2
BA    5   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    5   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    5   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    5   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    6   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    6   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    6   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    6   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    6   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    6   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    6   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    6   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    6   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR         2   TR  1   CH  1   NT  B#--          1/2
BA    6   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    6   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    6   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    6   CR         3   TR  1   CH  1   NT  F#''          1/2
BA    6   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    6   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    6   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    6   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    7   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    7   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    7   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    7   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    7   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    7   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    7   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    7   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    7   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR         2   TR  1   CH  1   NT  F#--          3/4
BA    7   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    7   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    7   CR     2+3/4   TR  1   CH  1   NT  A#--          1/4
BA    7   CR         3   TR  1   CH  1   NT  C#-           1/2
BA    7   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    7   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    7   CR     3+1/2   TR  1   CH  1   NT  F#-           1/2
BA    7   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    8   CR         0   TR  1   CH  1   NT  F#-           1/2
BA    8   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    8   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    8   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    8   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    8   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    8   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    8   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    8   CR         2   TR  1   CH  1   NT  C#-           1/2
BA    8   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    8   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    8   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    8   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    8   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    8   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    8   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    8   CR     3+1/2   TR  1   CH  1   NT  F#''          1/2
BA    8   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA    9   CR         0   TR  1   CH  1   NT  E#''            1
BA    9   CR         0   TR  1   CH  1   NT  C#--          3/4
BA    9   CR         0   TR  2   CH 10   NT  B#---         1/2
BA    9   CR         0   TR  2   CH 10   NT  F#--          1/2
BA    9   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA    9   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA    9   CR         1   TR  1   CH  1   NT  G#--          1/2
BA    9   CR         1   TR  2   CH 10   NT  C#--          1/2
BA    9   CR         1   TR  2   CH 10   NT  F#--          1/2
BA    9   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA    9   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA    9   CR         2   TR  1   CH  1   NT  B#--          1/2
BA    9   CR         2   TR  2   CH 10   NT  B#---         1/2
BA    9   CR         2   TR  2   CH 10   NT  F#--          1/2
BA    9   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA    9   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA    9   CR         3   TR  1   CH  1   NT  F#''          1/2
BA    9   CR         3   TR  1   CH  1   NT  G#''          1/2
BA    9   CR         3   TR  2   CH 10   NT  C#--          1/2
BA    9   CR         3   TR  2   CH 10   NT  F#--          1/2
BA    9   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   10   CR         0   TR  1   CH  1   NT  C#--          3/4
BA   10   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   10   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   10   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   10   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA   10   CR         1   TR  1   CH  1   NT  G#--          1/2
BA   10   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   10   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   10   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA   10   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   10   CR         2   TR  1   CH  1   NT  B#--          1/2
BA   10   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   10   CR         2   TR  2   CH 10   NT  F#--          1/2
BA   10   CR     2+1/2   TR  1   CH  1   NT  G#'           1/2
BA   10   CR     2+1/2   TR  2   CH 10   NT  F#--          1/2
BA   10   CR         3   TR  1   CH  1   NT  F#''          1/2
BA   10   CR         3   TR  1   CH  1   NT  G#''          1/2
BA   10   CR         3   TR  2   CH 10   NT  C#--          1/2
BA   10   CR         3   TR  2   CH 10   NT  F#--          1/2
BA   10   CR     3+1/2   TR  2   CH 10   NT  F#--          1/2

BA   11   CR         0   TR  1   CH  1   NT  C#--          3/4
BA   11   CR         0   TR  2   CH 10   NT  B#---         1/2
BA   11   CR         0   TR  2   CH 10   NT  F#--          1/2
BA   11   CR       1/2   TR  2   CH 10   NT  F#--          1/2
BA   11   CR       3/4   TR  1   CH  1   NT  E#--          1/4
BA   11   CR         1   TR  1   CH  1   NT  G#--          1/2
BA   11   CR         1   TR  2   CH 10   NT  C#--          1/2
BA   11   CR         1   TR  2   CH 10   NT  F#--          1/2
BA   11   CR     1+1/2   TR  1   CH  1   NT  C#-           1/2
BA   11   CR     1+1/2   TR  2   CH 10   NT  F#--          1/2
BA   11   CR         2   TR  1   CH  1   NT  F#--          3/4
BA   11   CR         2   TR  2   CH 10   NT  B#---         1/2
BA   11   CR         2   TR  2   CH 10   NT  F#--          1/2
