format=0 tracks=1 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Lewis Wall"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 55
BA    1   CR     47/60   TR  0   CH  2   ST &B1 &0B &4E
BA    1   CR       4/5   TR  0   CH  1   ST &B0 &0B &5B
BA    1   CR       4/5   TR  0   CH  2   ST &B1 &0B &4F
BA    1   CR     49/60   TR  0   CH  1   ST &B0 &0B &5C
BA    1   CR     49/60   TR  0   CH  2   ST &B1 &0B &50
BA    1   CR       5/6   TR  0   CH  2   Channel volume 18
BA    1   CR     17/20   TR  0   CH  1   ST &B0 &0B &5D
BA    1   CR     17/20   TR  0   CH  2   ST &B1 &0B &51
BA    1   CR     13/15   TR  0   CH  1   ST &B0 &0B &5E
BA    1   CR     13/15   TR  0   CH  2   Channel volume 19
BA    1   CR     13/15   TR  0   CH  2   ST &B1 &0B &52
BA    1   CR     53/60   TR  0   CH  1   ST &B0 &0B &5F
BA    1   CR     53/60   TR  0   CH  2   ST &B1 &0B &53
BA    1   CR      9/10   TR  0   CH  1   ST &B0 &0B &60
BA    1   CR      9/10   TR  0   CH  2   ST &B1 &0B &54
BA    1   CR     11/12   TR  0   CH  2   Channel volume 20
BA    1   CR     14/15   TR  0   CH  1   ST &B0 &0B &61
BA    1   CR     14/15   TR  0   CH  2   ST &B1 &0B &55
BA    1   CR     19/20   TR  0   CH  1   ST &B0 &0B &62
BA    1   CR     19/20   TR  0   CH  2   ST &B1 &0B &56
BA    1   CR     29/30   TR  0   CH  1   ST &B0 &0B &63
BA    1   CR     29/30   TR  0   CH  2   Channel volume 21
BA    1   CR     29/30   TR  0   CH  2   ST &B1 &0B &57
BA    1   CR     59/60   TR  0   CH  1   ST &B0 &0B &64
BA    1   CR     59/60   TR  0   CH  2   ST &B1 &0B &58
BA    1   CR         1   TR  0   CH  1   ST &B0 &0B &65
BA    1   CR         1   TR  0   CH  1   NT  Eb            1/4
BA    1   CR         1   TR  0   CH  2   Channel volume 22
BA    1   CR         1   TR  0   CH  2   NT  C             1/4
BA    1   CR    1+1/60   TR  0   CH  2   ST &B1 &0B &59
BA    1   CR    1+1/30   TR  0   CH  1   ST &B0 &0B &64
BA    1   CR    1+1/30   TR  0   CH  2   ST &B1 &0B &5A
BA    1   CR    1+1/20   TR  0   CH  2   Channel volume 23
BA    1   CR    1+1/20   TR  0   CH  2   ST &B1 &0B &5B
BA    1   CR    1+1/15   TR  0   CH  1   ST &B0 &0B &63
BA    1   CR    1+1/15   TR  0   CH  2   ST &B1 &0B &5C
BA    1   CR    1+1/12   TR  0   CH  1   ST &B0 &0B &62
BA    1   CR    1+1/10   TR  0   CH  2   Channel volume 24
BA    1   CR    1+1/10   TR  0   CH  2   ST &B1 &0B &5D
BA    1   CR    1+7/60   TR  0   CH  1   ST &B0 &0B &61
BA    1   CR    1+7/60   TR  0   CH  2   ST &B1 &0B &5E
BA    1   CR    1+2/15   TR  0   CH  1   ST &B0 &0B &60
BA    1   CR    1+2/15   TR  0   CH  2   ST &B1 &0B &5F
BA    1   CR    1+3/20   TR  0   CH  2   Channel volume 25
BA    1   CR    1+3/20   TR  0   CH  2   ST &B1 &0B &60
BA    1   CR     1+1/6   TR  0   CH  1   ST &B0 &0B &5F
BA    1   CR   1+11/60   TR  0   CH  2   Channel volume 26
BA    1   CR   1+11/60   TR  0   CH  2   ST &B1 &0B &61
BA    1   CR     1+1/5   TR  0   CH  1   ST &B0 &0B &5E
BA    1   CR     1+1/5   TR  0   CH  2   ST &B1 &0B &62
BA    1   CR   1+13/60   TR  0   CH  1   ST &B0 &0B &5D
BA    1   CR   1+13/60   TR  0   CH  2   ST &B1 &0B &63
BA    1   CR    1+7/30   TR  0   CH  2   Channel volume 27
BA    1   CR    1+7/30   TR  0   CH  2   ST &B1 &0B &64
BA    1   CR     1+1/4   TR  0   CH  1   ST &B0 &0B &5C
BA    1   CR     1+1/4   TR  0   CH  1   NT  C             1/4
BA    1   CR     1+1/4   TR  0   CH  2   ST &B1 &0B &65
BA    1   CR     1+1/4   TR  0   CH  2   NT  Eb            1/4
BA    1   CR    1+4/15   TR  0   CH  1   ST &B0 &0B &5B
BA    1   CR   1+17/60   TR  0   CH  2   Channel volume 28
BA    1   CR   1+17/60   TR  0   CH  2   ST &B1 &0B &64
BA    1   CR    1+3/10   TR  0   CH  1   ST &B0 &0B &5A
BA    1   CR   1+19/60   TR  0   CH  2   ST &B1 &0B &63
BA    1   CR     1+1/3   TR  0   CH  1   ST &B0 &0B &59
BA    1   CR     1+1/3   TR  0   CH  2   Channel volume 29
BA    1   CR     1+1/3   TR  0   CH  2   ST &B1 &0B &62
BA    1   CR    1+7/20   TR  0   CH  1   ST &B0 &0B &58
BA    1   CR   1+11/30   TR  0   CH  2   Channel volume 30
BA    1   CR   1+11/30   TR  0   CH  2   ST &B1 &0B &61
BA    1   CR   1+23/60   TR  0   CH  1   ST &B0 &0B &57
BA    1   CR   1+23/60   TR  0   CH  2   ST &B1 &0B &60
BA    1   CR     1+2/5   TR  0   CH  1   ST &B0 &0B &56
BA    1   CR    1+5/12   TR  0   CH  2   Channel volume 31
BA    1   CR    1+5/12   TR  0   CH  2   ST &B1 &0B &5F
BA    1   CR   1+13/30   TR  0   CH  1   ST &B0 &0B &55
BA    1   CR    1+9/20   TR  0   CH  2   ST &B1 &0B &5E
BA    1   CR    1+7/15   TR  0   CH  1   ST &B0 &0B &54
BA    1   CR    1+7/15   TR  0   CH  2   Channel volume 32
BA    1   CR    1+7/15   TR  0   CH  2   ST &B1 &0B &5D
BA    1   CR   1+29/60   TR  0   CH  1   ST &B0 &0B &53
BA    1   CR     1+1/2   TR  0   CH  1   NT  B-            1/4
BA    1   CR     1+1/2   TR  0   CH  2   Channel volume 33
BA    1   CR     1+1/2   TR  0   CH  2   ST &B1 &0B &5C
BA    1   CR     1+1/2   TR  0   CH  2   NT  C             1/4
BA    1   CR   1+31/60   TR  0   CH  1   ST &B0 &0B &52
BA    1   CR   1+31/60   TR  0   CH  2   ST &B1 &0B &5B
BA    1   CR    1+8/15   TR  0   CH  1   ST &B0 &0B &51
BA    1   CR   1+11/20   TR  0   CH  2   Channel volume 34
BA    1   CR   1+11/20   TR  0   CH  2   ST &B1 &0B &5A
BA    1   CR   1+17/30   TR  0   CH  1   ST &B0 &0B &50
BA    1   CR    1+7/12   TR  0   CH  2   ST &B1 &0B &59
BA    1   CR     1+3/5   TR  0   CH  1   ST &B0 &0B &4F
BA    1   CR     1+3/5   TR  0   CH  2   Channel volume 35
BA    1   CR     1+3/5   TR  0   CH  2   ST &B1 &0B &58
BA    1   CR   1+37/60   TR  0   CH  1   ST &B0 &0B &4E
BA    1   CR   1+19/30   TR  0   CH  2   ST &B1 &0B &57
BA    1   CR   1+13/20   TR  0   CH  1   ST &B0 &0B &4D
BA    1   CR   1+13/20   TR  0   CH  2   Channel volume 36
BA    1   CR   1+13/20   TR  0   CH  2   ST &B1 &0B &56
BA    1   CR     1+2/3   TR  0   CH  1   ST &B0 &0B &4C
BA    1   CR   1+41/60   TR  0   CH  2   Channel volume 37
BA    1   CR   1+41/60   TR  0   CH  2   ST &B1 &0B &55
BA    1   CR    1+7/10   TR  0   CH  1   ST &B0 &0B &4B
BA    1   CR   1+43/60   TR  0   CH  2   ST &B1 &0B &54
BA    1   CR   1+11/15   TR  0   CH  1   ST &B0 &0B &4A
BA    1   CR   1+11/15   TR  0   CH  2   Channel volume 38
