format=1 tracks=8 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 112.5
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Bubble Ghost"
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 82
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 82
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 127
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 82
BA    1   CR         0   TR  3   CH  3   NT  G'           5/32   von=88
BA    1   CR         0   TR  4   CH 16   Text type 3: "MIDI By Marc"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 82
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 82
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 82
BA    1   CR         0   TR  5   CH 16   Text type 3: "~"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 82
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 82
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 82
BA    1   CR         0   TR  5   CH  5   NT  G--         95/96   von=100
BA    1   CR         0   TR  6   CH 16   Text type 3: "Play This Game, It's One Of The Better Ones!"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 58
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 58
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 88
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 58
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 88
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 58
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 88
BA    1   CR         0   TR  6   CH  6   NT  G--         95/96   von=100
BA    1   CR         0   TR  7   CH 16   Text type 3: "~"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 106
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 106
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 17
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 106
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 17
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 106
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 17
BA    1   CR       1/8   TR  2   CH  2   NT  G           11/96
BA    1   CR       1/6   TR  3   CH  3   NT  G#'          5/32
BA    1   CR       1/4   TR  2   CH  2   NT  C           11/96
BA    1   CR       1/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR       3/8   TR  2   CH  2   NT  G           11/96
BA    1   CR       1/2   TR  2   CH  2   NT  C'          11/96
BA    1   CR       1/2   TR  3   CH  3   NT  F#'          5/32
BA    1   CR       5/8   TR  2   CH  2   NT  G'          11/96
BA    1   CR       2/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR       3/4   TR  2   CH  2   NT  C'          11/96
BA    1   CR       5/6   TR  3   CH  3   NT  F#'          5/32
BA    1   CR       7/8   TR  2   CH  2   NT  G           11/96
BA    1   CR         1   TR  2   CH  2   NT  C'          11/96
BA    1   CR         1   TR  3   CH  3   NT  G'           5/32
BA    1   CR         1   TR  5   CH  5   NT  F#--        95/96
BA    1   CR         1   TR  6   CH  6   NT  F#--        95/96
BA    1   CR     1+1/8   TR  2   CH  2   NT  G           11/96
BA    1   CR     1+1/6   TR  3   CH  3   NT  G#'          5/32
BA    1   CR     1+1/4   TR  2   CH  2   NT  C           11/96
BA    1   CR     1+1/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR     1+3/8   TR  2   CH  2   NT  G           11/96
BA    1   CR     1+1/2   TR  2   CH  2   NT  C'          11/96
BA    1   CR     1+1/2   TR  3   CH  3   NT  F#'          5/32
BA    1   CR     1+5/8   TR  2   CH  2   NT  G'          11/96
BA    1   CR     1+2/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR     1+3/4   TR  2   CH  2   NT  C'          11/96
BA    1   CR     1+5/6   TR  3   CH  3   NT  F#'          5/32
BA    1   CR     1+7/8   TR  2   CH  2   NT  G           11/96
BA    1   CR         2   TR  2   CH  2   NT  C'          11/96
BA    1   CR         2   TR  3   CH  3   NT  G'           5/32
BA    1   CR         2   TR  5   CH  5   NT  F--         95/96
BA    1   CR         2   TR  6   CH  6   NT  F--         95/96
BA    1   CR     2+1/8   TR  2   CH  2   NT  G           11/96
BA    1   CR     2+1/6   TR  3   CH  3   NT  G#'          5/32
BA    1   CR     2+1/4   TR  2   CH  2   NT  C           11/96
BA    1   CR     2+1/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR     2+3/8   TR  2   CH  2   NT  G           11/96
BA    1   CR     2+1/2   TR  2   CH  2   NT  C'          11/96
BA    1   CR     2+1/2   TR  3   CH  3   NT  F#'          5/32
BA    1   CR     2+5/8   TR  2   CH  2   NT  G'          11/96
BA    1   CR     2+2/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR     2+3/4   TR  2   CH  2   NT  C'          11/96
BA    1   CR     2+5/6   TR  3   CH  3   NT  F#'          5/32
BA    1   CR     2+7/8   TR  2   CH  2   NT  G           11/96
BA    1   CR         3   TR  2   CH  2   NT  C'          11/96
BA    1   CR         3   TR  3   CH  3   NT  G'           5/32
BA    1   CR         3   TR  5   CH  5   NT  E--         95/96
BA    1   CR         3   TR  6   CH  6   NT  E--         95/96
BA    1   CR     3+1/8   TR  2   CH  2   NT  G           11/96
BA    1   CR     3+1/6   TR  3   CH  3   NT  G#'          5/32
BA    1   CR     3+1/4   TR  2   CH  2   NT  C           11/96
BA    1   CR     3+1/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR     3+3/8   TR  2   CH  2   NT  G           11/96
BA    1   CR     3+1/2   TR  2   CH  2   NT  C'          11/96
BA    1   CR     3+1/2   TR  3   CH  3   NT  F#'          5/32
BA    1   CR     3+5/8   TR  2   CH  2   NT  G'          11/96
BA    1   CR     3+2/3   TR  3   CH  3   NT  G'           5/32
BA    1   CR     3+3/4   TR  2   CH  2   NT  C'          11/96
BA    1   CR     3+5/6   TR  3   CH  3   NT  F#'          5/32
BA    1   CR     3+7/8   TR  2   CH  2   NT  G           11/96

BA    2   CR         0   TR  2   CH  2   NT  C'          11/96
BA    2   CR         0   TR  3   CH  3   NT  G'           5/32
BA    2   CR         0   TR  5   CH  5   NT  Eb--      1+95/96
BA    2   CR         0   TR  6   CH  6   NT  Eb--      1+95/96
BA    2   CR       1/8   TR  2   CH  2   NT  G           11/96
BA    2   CR       1/6   TR  3   CH  3   NT  G#'          5/32
BA    2   CR       1/4   TR  2   CH  2   NT  C           11/96
BA    2   CR       1/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR       3/8   TR  2   CH  2   NT  G           11/96
BA    2   CR       1/2   TR  2   CH  2   NT  C'          11/96
BA    2   CR       1/2   TR  3   CH  3   NT  F#'          5/32
BA    2   CR       5/8   TR  2   CH  2   NT  G'          11/96
BA    2   CR       2/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR       3/4   TR  2   CH  2   NT  C'          11/96
BA    2   CR       5/6   TR  3   CH  3   NT  F#'          5/32
BA    2   CR       7/8   TR  2   CH  2   NT  G           11/96
BA    2   CR         1   TR  2   CH  2   NT  C'          11/96
BA    2   CR         1   TR  3   CH  3   NT  G'           5/32
BA    2   CR     1+1/8   TR  2   CH  2   NT  G           11/96
BA    2   CR     1+1/6   TR  3   CH  3   NT  G#'          5/32
BA    2   CR     1+1/4   TR  2   CH  2   NT  C           11/96
BA    2   CR     1+1/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR     1+3/8   TR  2   CH  2   NT  G           11/96
BA    2   CR     1+1/2   TR  2   CH  2   NT  C'          11/96
BA    2   CR     1+1/2   TR  3   CH  3   NT  F#'          5/32
BA    2   CR     1+5/8   TR  2   CH  2   NT  G'          11/96
BA    2   CR     1+2/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR     1+3/4   TR  2   CH  2   NT  C'          11/96
BA    2   CR     1+5/6   TR  3   CH  3   NT  F#'          5/32
BA    2   CR     1+7/8   TR  2   CH  2   NT  G           11/96
BA    2   CR         2   TR  2   CH  2   NT  C'          11/96
BA    2   CR         2   TR  3   CH  3   NT  G'           5/32
BA    2   CR         2   TR  5   CH  5   NT  D--       1+95/96
BA    2   CR         2   TR  6   CH  6   NT  D--       1+95/96
BA    2   CR     2+1/8   TR  2   CH  2   NT  G           11/96
BA    2   CR     2+1/6   TR  3   CH  3   NT  G#'          5/32
BA    2   CR     2+1/4   TR  2   CH  2   NT  C           11/96
BA    2   CR     2+1/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR     2+3/8   TR  2   CH  2   NT  G           11/96
BA    2   CR     2+1/2   TR  2   CH  2   NT  C'          11/96
BA    2   CR     2+1/2   TR  3   CH  3   NT  F#'          5/32
BA    2   CR     2+5/8   TR  2   CH  2   NT  G'          11/96
BA    2   CR     2+2/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR     2+3/4   TR  2   CH  2   NT  C'          11/96
BA    2   CR     2+5/6   TR  3   CH  3   NT  F#'          5/32
BA    2   CR     2+7/8   TR  2   CH  2   NT  G           11/96
BA    2   CR         3   TR  2   CH  2   NT  C'          11/96
BA    2   CR         3   TR  3   CH  3   NT  G'           5/32
BA    2   CR     3+1/8   TR  2   CH  2   NT  G           11/96
BA    2   CR     3+1/6   TR  3   CH  3   NT  G#'          5/32
BA    2   CR     3+1/4   TR  2   CH  2   NT  C           11/96
BA    2   CR     3+1/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR     3+3/8   TR  2   CH  2   NT  G           11/96
BA    2   CR     3+1/2   TR  2   CH  2   NT  C'          11/96
BA    2   CR     3+1/2   TR  3   CH  3   NT  F#'          5/32
BA    2   CR     3+5/8   TR  2   CH  2   NT  G'          11/96
BA    2   CR     3+2/3   TR  3   CH  3   NT  G'           5/32
BA    2   CR     3+3/4   TR  2   CH  2   NT  C'          11/96
BA    2   CR     3+5/6   TR  3   CH  3   NT  F#'          5/32
BA    2   CR     3+7/8   TR  2   CH  2   NT  G           11/96

BA    3   CR         0   TR  2   CH  2   NT  C'          11/96
BA    3   CR         0   TR  3   CH  3   NT  G'           5/32
BA    3   CR         0   TR  5   CH  5   NT  C#--      7+95/96
BA    3   CR         0   TR  6   CH  6   NT  C#--      7+95/96
BA    3   CR         0   TR  7   CH 10   NT  D--          5/32   von=100
BA    3   CR         0   TR  7   CH 10   NT  C--          5/32
BA    3   CR       1/8   TR  2   CH  2   NT  G           11/96
BA    3   CR       1/6   TR  3   CH  3   NT  G#'          5/32
BA    3   CR       1/4   TR  2   CH  2   NT  C           11/96
BA    3   CR       1/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR       3/8   TR  2   CH  2   NT  G           11/96
BA    3   CR       1/2   TR  2   CH  2   NT  C'          11/96
BA    3   CR       1/2   TR  3   CH  3   NT  F#'          5/32
BA    3   CR       5/8   TR  2   CH  2   NT  G'          11/96
BA    3   CR       2/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR       3/4   TR  2   CH  2   NT  C'          11/96
BA    3   CR       5/6   TR  3   CH  3   NT  F#'          5/32
BA    3   CR       7/8   TR  2   CH  2   NT  G           11/96
BA    3   CR         1   TR  2   CH  2   NT  C'          11/96
BA    3   CR         1   TR  3   CH  3   NT  G'           5/32
BA    3   CR         1   TR  7   CH 10   NT  D--          5/32
BA    3   CR         1   TR  7   CH 10   NT  C--          5/32
BA    3   CR     1+1/8   TR  2   CH  2   NT  G           11/96
BA    3   CR     1+1/6   TR  3   CH  3   NT  G#'          5/32
BA    3   CR     1+1/4   TR  2   CH  2   NT  C           11/96
BA    3   CR     1+1/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR     1+3/8   TR  2   CH  2   NT  G           11/96
BA    3   CR     1+1/2   TR  2   CH  2   NT  C'          11/96
BA    3   CR     1+1/2   TR  3   CH  3   NT  F#'          5/32
BA    3   CR     1+5/8   TR  2   CH  2   NT  G'          11/96
BA    3   CR     1+2/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR     1+3/4   TR  2   CH  2   NT  C'          11/96
BA    3   CR     1+5/6   TR  3   CH  3   NT  F#'          5/32
BA    3   CR     1+7/8   TR  2   CH  2   NT  G           11/96
BA    3   CR         2   TR  2   CH  2   NT  C'          11/96
BA    3   CR         2   TR  3   CH  3   NT  G'           5/32
BA    3   CR         2   TR  7   CH 10   NT  D--          5/32
BA    3   CR         2   TR  7   CH 10   NT  C--          5/32
BA    3   CR     2+1/8   TR  2   CH  2   NT  G           11/96
BA    3   CR     2+1/6   TR  3   CH  3   NT  G#'          5/32
BA    3   CR     2+1/4   TR  2   CH  2   NT  C           11/96
BA    3   CR     2+1/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR     2+3/8   TR  2   CH  2   NT  G           11/96
BA    3   CR     2+1/2   TR  2   CH  2   NT  C'          11/96
BA    3   CR     2+1/2   TR  3   CH  3   NT  F#'          5/32
BA    3   CR     2+5/8   TR  2   CH  2   NT  G'          11/96
BA    3   CR     2+2/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR     2+3/4   TR  2   CH  2   NT  C'          11/96
BA    3   CR     2+5/6   TR  3   CH  3   NT  F#'          5/32
BA    3   CR     2+7/8   TR  2   CH  2   NT  G           11/96
BA    3   CR         3   TR  2   CH  2   NT  C'          11/96
BA    3   CR         3   TR  3   CH  3   NT  G'           5/32
BA    3   CR         3   TR  7   CH 10   NT  D--          5/32
BA    3   CR         3   TR  7   CH 10   NT  C--          5/32
BA    3   CR     3+1/8   TR  2   CH  2   NT  G           11/96
BA    3   CR     3+1/6   TR  3   CH  3   NT  G#'          5/32
BA    3   CR     3+1/4   TR  2   CH  2   NT  C           11/96
BA    3   CR     3+1/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR     3+3/8   TR  2   CH  2   NT  G           11/96
BA    3   CR     3+1/2   TR  2   CH  2   NT  C'          11/96
BA    3   CR     3+1/2   TR  3   CH  3   NT  F#'          5/32
BA    3   CR     3+5/8   TR  2   CH  2   NT  G'          11/96
BA    3   CR     3+2/3   TR  3   CH  3   NT  G'           5/32
BA    3   CR     3+3/4   TR  2   CH  2   NT  C'          11/96
BA    3   CR     3+5/6   TR  3   CH  3   NT  F#'          5/32
BA    3   CR     3+7/8   TR  2   CH  2   NT  G           11/96

BA    4   CR         0   TR  2   CH  2   NT  C'          11/96
BA    4   CR         0   TR  3   CH  3   NT  G'           5/32
BA    4   CR         0   TR  7   CH 10   NT  D--          5/32
BA    4   CR         0   TR  7   CH 10   NT  C--          5/32
BA    4   CR       1/8   TR  2   CH  2   NT  G           11/96
BA    4   CR       1/6   TR  3   CH  3   NT  G#'          5/32
BA    4   CR       1/4   TR  2   CH  2   NT  C           11/96
BA    4   CR       1/3   TR  3   CH  3   NT  G'           5/32
BA    4   CR       3/8   TR  2   CH  2   NT  G           11/96
BA    4   CR       1/2   TR  2   CH  2   NT  C'          11/96
BA    4   CR       1/2   TR  3   CH  3   NT  F#'          5/32
BA    4   CR       5/8   TR  2   CH  2   NT  G'          11/96
BA    4   CR       2/3   TR  3   CH  3   NT  G'           5/32
BA    4   CR       3/4   TR  2   CH  2   NT  C'          11/96
BA    4   CR       5/6   TR  3   CH  3   NT  F#'          5/32
BA    4   CR       7/8   TR  2   CH  2   NT  G           11/96
BA    4   CR         1   TR  2   CH  2   NT  C'          11/96
BA    4   CR         1   TR  3   CH  3   NT  G'           5/32
BA    4   CR         1   TR  7   CH 10   NT  D--          5/32
BA    4   CR         1   TR  7   CH 10   NT  C--          5/32
BA    4   CR     1+1/8   TR  2   CH  2   NT  G           11/96
BA    4   CR     1+1/6   TR  3   CH  3   NT  G#'          5/32
BA    4   CR     1+1/4   TR  2   CH  2   NT  C           11/96
BA    4   CR     1+1/3   TR  3   CH  3   NT  G'           5/32
BA    4   CR     1+3/8   TR  2   CH  2   NT  G           11/96
BA    4   CR     1+1/2   TR  2   CH  2   NT  C'          11/96
BA    4   CR     1+1/2   TR  3   CH  3   NT  F#'          5/32
BA    4   CR     1+5/8   TR  2   CH  2   NT  G'          11/96
BA    4   CR     1+2/3   TR  3   CH  3   NT  G'           5/32
BA    4   CR     1+3/4   TR  2   CH  2   NT  C'          11/96
BA    4   CR     1+5/6   TR  3   CH  3   NT  F#'          5/32
BA    4   CR     1+7/8   TR  2   CH  2   NT  G           11/96
BA    4   CR         2   TR  2   CH  2   NT  C'          11/96
BA    4   CR         2   TR  3   CH  3   NT  G'           5/32
BA    4   CR         2   TR  7   CH 10   NT  Bb--         5/32
BA    4   CR         2   TR  7   CH 10   NT  D--          5/32
BA    4   CR         2   TR  7   CH 10   NT  C--          5/32
BA    4   CR     2+1/8   TR  2   CH  2   NT  G           11/96
BA    4   CR     2+1/6   TR  3   CH  3   NT  G#'          5/32
BA    4   CR     2+1/4   TR  2   CH  2   NT  C           11/96
BA    4   CR     2+1/4   TR  7   CH 10   NT  Bb--         5/32
BA    4   CR     2+1/4   TR  7   CH 10   NT  D--          5/32
BA    4   CR     2+1/3   TR  3   CH  3   NT  G'           5/32
BA    4   CR     2+3/8   TR  2   CH  2   NT  G           11/96
BA    4   CR     2+1/2   TR  2   CH  2   NT  C'          11/96
BA    4   CR     2+1/2   TR  3   CH  3   NT  F#'          5/32
BA    4   CR     2+1/2   TR  7   CH 10   NT  Bb--         5/32
BA    4   CR     2+1/2   TR  7   CH 10   NT  D--          5/32
BA    4   CR     2+1/2   TR  7   CH 10   NT  C--          5/32
BA    4   CR     2+5/8   TR  2   CH  2   NT  G'          11/96
BA    4   CR     2+2/3   TR  3   CH  3   NT  G'           5/32
BA    4   CR     2+3/4   TR  2   CH  2   NT  C'          11/96
BA    4   CR     2+3/4   TR  7   CH 10   NT  Bb--         5/32
BA    4   CR     2+3/4   TR  7   CH 10   NT  D--          5/32
BA    4   CR     2+5/6   TR  3   CH  3   NT  F#'          5/32
BA    4   CR     2+7/8   TR  2   CH  2   NT  G           11/96
BA    4   CR         3   TR  2   CH  2   NT  C'          11/96
BA    4   CR         3   TR  3   CH  3   NT  G'           5/32
BA    4   CR         3   TR  7   CH 10   NT  Bb--         5/32
BA    4   CR         3   TR  7   CH 10   NT  D--          5/32
BA    4   CR         3   TR  7   CH 10   NT  C--          5/32
BA    4   CR     3+1/8   TR  2   CH  2   NT  G           11/96
BA    4   CR     3+1/6   TR  3   CH  3   NT  G#'          5/32
BA    4   CR     3+1/4   TR  2   CH  2   NT  C           11/96
BA    4   CR     3+1/4   TR  7   CH 10   NT  Bb--         5/32
BA    4   CR     3+1/4   TR  7   CH 10   NT  D--          5/32
