format=1 tracks=3 division=960

BA    4   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    4   CR         2   TR  1   CH 10   NT  F#--          1/2
BA    4   CR         2   TR  1   CH 10   NT  B---          1/2
BA    4   CR         2   TR  2   CH  1   NT  D-            1/2
BA    4   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    4   CR     2+1/2   TR  2   CH  1   NT  D-            1/4
BA    4   CR     2+3/4   TR  2   CH  1   NT  E-            1/2
BA    4   CR         3   TR  1   CH 10   NT  Bb--          1/2
BA    4   CR         3   TR  1   CH 10   NT  D--           1/2
BA    4   CR     3+1/4   TR  2   CH  1   NT  E-            1/4
BA    4   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    4   CR     3+1/2   TR  2   CH  1   NT  E-            1/2

BA    5   CR         0   TR  0   CH 16   Tempo 100
BA    5   CR         0   TR  1   CH 10   NT  F#--          1/2
BA    5   CR         0   TR  1   CH 10   NT  B---          1/2
BA    5   CR         0   TR  2   CH  1   NT  A             1/4
BA    5   CR         0   TR  2   CH  1   NT  A--           3/4
BA    5   CR       1/4   TR  2   CH  1   NT  A'            1/4
BA    5   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR       3/4   TR  2   CH  1   NT  A             1/4
BA    5   CR       3/4   TR  2   CH  1   NT  A--           1/4
BA    5   CR         1   TR  1   CH 10   NT  Bb--          1/2
BA    5   CR         1   TR  1   CH 10   NT  D--           1/2
BA    5   CR         1   TR  2   CH  1   NT  A'            1/4
BA    5   CR         1   TR  2   CH  1   NT  C-              1
BA    5   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR     1+1/2   TR  2   CH  1   NT  A             1/4
BA    5   CR         2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR         2   TR  1   CH 10   NT  B---          1/2
BA    5   CR         2   TR  2   CH  1   NT  G'            1/2
BA    5   CR         2   TR  2   CH  1   NT  D-            1/2
BA    5   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR     2+1/2   TR  2   CH  1   NT  G'            1/4
BA    5   CR     2+1/2   TR  2   CH  1   NT  D-            1/4
BA    5   CR     2+3/4   TR  2   CH  1   NT  G'            1/2
BA    5   CR     2+3/4   TR  2   CH  1   NT  E-            1/2
BA    5   CR         3   TR  1   CH 10   NT  Bb--          1/2
BA    5   CR         3   TR  1   CH 10   NT  D--           1/2
BA    5   CR     3+1/4   TR  2   CH  1   NT  G#'           1/4
BA    5   CR     3+1/4   TR  2   CH  1   NT  E-            1/4
BA    5   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR     3+1/2   TR  2   CH  1   NT  A'            1/2
BA    5   CR     3+1/2   TR  2   CH  1   NT  E-            1/2

BA    6   CR         0   TR  0   CH 16   Tempo 100
BA    6   CR         0   TR  1   CH 10   NT  F#--          1/2
BA    6   CR         0   TR  1   CH 10   NT  B---          1/2
BA    6   CR         0   TR  2   CH  1   NT  A--           3/4
BA    6   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR       3/4   TR  2   CH  1   NT  A--           1/4
BA    6   CR         1   TR  1   CH 10   NT  Bb--          1/2
BA    6   CR         1   TR  1   CH 10   NT  D--           1/2
BA    6   CR         1   TR  2   CH  1   NT  C-              1
BA    6   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR         2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR         2   TR  1   CH 10   NT  B---          1/2
BA    6   CR         2   TR  2   CH  1   NT  D-            1/2
BA    6   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR     2+1/2   TR  2   CH  1   NT  D-            1/4
BA    6   CR     2+3/4   TR  2   CH  1   NT  E-            1/2
BA    6   CR         3   TR  1   CH 10   NT  Bb--          1/2
BA    6   CR         3   TR  1   CH 10   NT  D--           1/2
BA    6   CR     3+1/4   TR  2   CH  1   NT  E-            1/4
BA    6   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR     3+1/2   TR  2   CH  1   NT  E-            1/2

BA    7   CR         0   TR  0   CH 16   Tempo 100
BA    7   CR         0   TR  1   CH 10   NT  F#--          1/2
BA    7   CR         0   TR  1   CH 10   NT  B---          1/2
BA    7   CR         0   TR  2   CH  1   NT  A             1/4
BA    7   CR         0   TR  2   CH  1   NT  A--           3/4
BA    7   CR       1/4   TR  2   CH  1   NT  A'            1/4
BA    7   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    7   CR       3/4   TR  2   CH  1   NT  A             1/4
BA    7   CR       3/4   TR  2   CH  1   NT  A--           1/4
BA    7   CR         1   TR  1   CH 10   NT  Bb--          1/2
BA    7   CR         1   TR  1   CH 10   NT  D--           1/2
BA    7   CR         1   TR  2   CH  1   NT  A'            1/4
BA    7   CR         1   TR  2   CH  1   NT  C-              1
BA    7   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    7   CR     1+1/2   TR  2   CH  1   NT  A             1/4
BA    7   CR         2   TR  1   CH 10   NT  F#--          1/2
BA    7   CR         2   TR  1   CH 10   NT  B---          1/2
BA    7   CR         2   TR  2   CH  1   NT  G'            1/2
BA    7   CR         2   TR  2   CH  1   NT  D-            1/2
BA    7   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    7   CR     2+1/2   TR  2   CH  1   NT  G'            1/4
BA    7   CR     2+1/2   TR  2   CH  1   NT  D-            1/4
BA    7   CR     2+3/4   TR  2   CH  1   NT  G'            1/2
BA    7   CR     2+3/4   TR  2   CH  1   NT  E-            1/2
BA    7   CR         3   TR  1   CH 10   NT  Bb--          1/2
BA    7   CR         3   TR  1   CH 10   NT  D--           1/2
BA    7   CR     3+1/4   TR  2   CH  1   NT  G#'           1/4
BA    7   CR     3+1/4   TR  2   CH  1   NT  E-            1/4
BA    7   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    7   CR     3+1/2   TR  2   CH  1   NT  A'            1/2
BA    7   CR     3+1/2   TR  2   CH  1   NT  E-            1/2

BA    8   CR         0   TR  0   CH 16   Tempo 100
BA    8   CR         0   TR  0   CH 16   End of track
BA    8   CR         0   TR  1   CH 10   NT  F#--          1/2
BA    8   CR         0   TR  1   CH 10   NT  B---          1/2
BA    8   CR         0   TR  2   CH  1   NT  A--           3/4
BA    8   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    8   CR       3/4   TR  2   CH  1   NT  A--           1/4
BA    8   CR         1   TR  1   CH 10   NT  Bb--          1/2
BA    8   CR         1   TR  1   CH 10   NT  D--           1/2
BA    8   CR         1   TR  2   CH  1   NT  C-              1
BA    8   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    8   CR         2   TR  1   CH 10   NT  F#--          1/2
BA    8   CR         2   TR  1   CH 10   NT  B---          1/2
BA    8   CR         2   TR  2   CH  1   NT  D-            1/2
BA    8   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    8   CR     2+1/2   TR  2   CH  1   NT  D-            1/4
BA    8   CR     2+3/4   TR  2   CH  1   NT  E-            1/2
