format=0 tracks=1 division=120

BA    4   CR         0   TR  0   CH  1   NT  F--           1/3   von=100
BA    4   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    4   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    4   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    4   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    4   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    4   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    4   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    4   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    4   CR     1+5/6   TR  0   CH  1   NT  F--           1/6   von=90
BA    4   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    4   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    4   CR         2   TR  0   CH  1   NT  F--           1/6   von=90
BA    4   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    4   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    4   CR     2+1/2   TR  0   CH  1   NT  F--           1/2   von=110
BA    4   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    4   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    4   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    4   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    4   CR     3+1/3   TR  0   CH  1   NT  Bb---         1/6   von=120
BA    4   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    4   CR     3+1/2   TR  0   CH  1   NT  Bb--          1/3   von=120
BA    4   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    4   CR     3+5/6   TR  0   CH  1   NT  Bb---         1/6   von=120

BA    5   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    5   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    5   CR         0   TR  0   CH  1   NT  C--           1/2   von=100
BA    5   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    5   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    5   CR       1/2   TR  0   CH  2   NT  C'         17/120   von=74
BA    5   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    5   CR       5/6   TR  0   CH  2   NT  C'         17/120   von=72
BA    5   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    5   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    5   CR         1   TR  0   CH  2   NT  Bb            1/4   von=57
BA    5   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    5   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    5   CR     1+1/2   TR  0   CH  2   NT  C'         17/120   von=68
BA    5   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    5   CR     1+5/6   TR  0   CH  1   NT  C--           1/6   von=88
BA    5   CR     1+5/6   TR  0   CH  2   NT  C'           3/20   von=68
BA    5   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    5   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    5   CR         2   TR  0   CH  1   NT  C--           1/6   von=90
BA    5   CR         2   TR  0   CH  2   NT  Bb           5/24   von=71
BA    5   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    5   CR     2+1/3   TR  0   CH  2   NT  C'           3/20
BA    5   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    5   CR     2+1/2   TR  0   CH  1   NT  C--           1/2   von=110
BA    5   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    5   CR     2+5/6   TR  0   CH  2   NT  Eb'          1/10   von=89
BA    5   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    5   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    5   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    5   CR     3+1/3   TR  0   CH  1   NT  D--           2/3   von=120
BA    5   CR     3+1/3   TR  0   CH  2   NT  Eb'           1/8   von=81
BA    5   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    5   CR     3+1/2   TR  0   CH  2   NT  C'          17/60   von=64
BA    5   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6
BA    5   CR     3+5/6   TR  0   CH  2   NT  Bb          11/60   von=52

BA    6   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    6   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    6   CR         0   TR  0   CH  1   NT  Eb--          1/2   von=90
BA    6   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    6   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    6   CR       1/2   TR  0   CH  2   NT  C'           2/15   von=72
BA    6   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    6   CR       5/6   TR  0   CH  2   NT  C'           2/15   von=72
BA    6   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    6   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    6   CR         1   TR  0   CH  2   NT  Bb         31/120   von=62
BA    6   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    6   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    6   CR     1+1/2   TR  0   CH  2   NT  C'         17/120   von=66
BA    6   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    6   CR     1+5/6   TR  0   CH  1   NT  Eb--          1/6   von=90
BA    6   CR     1+5/6   TR  0   CH  2   NT  C'         17/120   von=64
BA    6   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    6   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    6   CR         2   TR  0   CH  1   NT  Eb--          1/6   von=90
BA    6   CR         2   TR  0   CH  2   NT  Bb           5/24   von=79
BA    6   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    6   CR     2+1/3   TR  0   CH  2   NT  C'         17/120   von=64
BA    6   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    6   CR     2+1/2   TR  0   CH  1   NT  Eb--          1/2   von=110
BA    6   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    6   CR     2+5/6   TR  0   CH  2   NT  Eb'          1/10   von=85
BA    6   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    6   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    6   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    6   CR     3+1/3   TR  0   CH  1   NT  A---          3/4   von=120
BA    6   CR     3+1/3   TR  0   CH  2   NT  Eb'           1/8   von=80
BA    6   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    6   CR     3+1/2   TR  0   CH  2   NT  C'         37/120   von=66
BA    6   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    6   CR     3+5/6   TR  0   CH  2   NT  Bb          11/60   von=65

BA    7   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    7   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    7   CR         0   TR  0   CH  1   NT  Bb---         1/2   von=100
BA    7   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    7   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    7   CR       1/2   TR  0   CH  2   NT  C'         17/120   von=76
BA    7   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    7   CR       5/6   TR  0   CH  2   NT  C'           3/20   von=68
BA    7   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    7   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    7   CR         1   TR  0   CH  2   NT  Bb           3/10   von=63
BA    7   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    7   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    7   CR     1+1/2   TR  0   CH  2   NT  C'           3/20   von=60
BA    7   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    7   CR     1+5/6   TR  0   CH  1   NT  Bb---         1/6   von=90
BA    7   CR     1+5/6   TR  0   CH  2   NT  C'         19/120   von=64
BA    7   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    7   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    7   CR         2   TR  0   CH  1   NT  Bb---         1/6   von=90
BA    7   CR         2   TR  0   CH  2   NT  Bb            1/4   von=80
BA    7   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    7   CR     2+1/3   TR  0   CH  2   NT  C'           3/20
BA    7   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    7   CR     2+1/2   TR  0   CH  1   NT  Bb---         1/2   von=110
BA    7   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    7   CR     2+5/6   TR  0   CH  2   NT  Eb'          1/10   von=89
BA    7   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    7   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    7   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    7   CR     3+1/3   TR  0   CH  1   NT  Eb--          2/3   von=120
BA    7   CR     3+1/3   TR  0   CH  2   NT  Eb'          3/20   von=66
BA    7   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    7   CR     3+1/2   TR  0   CH  2   NT  C'            1/3   von=72
BA    7   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    7   CR     3+5/6   TR  0   CH  2   NT  Bb            1/6   von=80

BA    8   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    8   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    8   CR         0   TR  0   CH  1   NT  F--           1/3   von=100
BA    8   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    8   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    8   CR       1/2   TR  0   CH  2   NT  C'           3/20   von=68
BA    8   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    8   CR       5/6   TR  0   CH  2   NT  C'           3/20   von=64
BA    8   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    8   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    8   CR         1   TR  0   CH  2   NT  Bb           7/30   von=75
BA    8   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    8   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    8   CR     1+1/2   TR  0   CH  2   NT  C'         17/120   von=66
BA    8   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    8   CR     1+5/6   TR  0   CH  1   NT  F--           1/6   von=90
BA    8   CR     1+5/6   TR  0   CH  2   NT  C'            1/6   von=60
BA    8   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    8   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    8   CR         2   TR  0   CH  1   NT  F--           1/6   von=90
BA    8   CR         2   TR  0   CH  2   NT  Bb            1/5   von=75
BA    8   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    8   CR     2+1/3   TR  0   CH  2   NT  C'           7/40   von=62
BA    8   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    8   CR     2+1/2   TR  0   CH  1   NT  F--           1/2   von=110
BA    8   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    8   CR     2+5/6   TR  0   CH  2   NT  Eb'          1/10   von=86
BA    8   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    8   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    8   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    8   CR     3+1/3   TR  0   CH  1   NT  Bb---         1/6   von=120
BA    8   CR     3+1/3   TR  0   CH  2   NT  Eb'           1/8   von=80
BA    8   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    8   CR     3+1/2   TR  0   CH  1   NT  Bb--          1/3   von=120
BA    8   CR     3+1/2   TR  0   CH  2   NT  C'           3/10   von=76
BA    8   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    8   CR     3+5/6   TR  0   CH  1   NT  Bb---         1/6   von=120
BA    8   CR     3+5/6   TR  0   CH  2   NT  Bb         17/120   von=83

BA    9   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA    9   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA    9   CR         0   TR  0   CH  1   NT  C--           1/2
BA    9   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    9   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    9   CR       1/2   TR  0   CH  2   NT  C'         17/120   von=74
BA    9   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    9   CR       5/6   TR  0   CH  2   NT  C'         17/120   von=72
BA    9   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA    9   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA    9   CR         1   TR  0   CH  2   NT  Bb            1/4   von=57
BA    9   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    9   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    9   CR     1+1/2   TR  0   CH  2   NT  C'         17/120   von=68
BA    9   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA    9   CR     1+5/6   TR  0   CH  1   NT  C--           1/6   von=88
BA    9   CR     1+5/6   TR  0   CH  2   NT  C'           3/20   von=68
BA    9   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA    9   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA    9   CR         2   TR  0   CH  1   NT  C--           1/6   von=90
BA    9   CR         2   TR  0   CH  2   NT  Bb           5/24   von=71
BA    9   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA    9   CR     2+1/3   TR  0   CH  2   NT  C'           3/20
BA    9   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA    9   CR     2+1/2   TR  0   CH  1   NT  C--           1/2   von=110
BA    9   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA    9   CR     2+5/6   TR  0   CH  2   NT  Eb'          1/10   von=89
BA    9   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA    9   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA    9   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA    9   CR     3+1/3   TR  0   CH  1   NT  D--           2/3   von=120
BA    9   CR     3+1/3   TR  0   CH  2   NT  Eb'           1/8   von=81
BA    9   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA    9   CR     3+1/2   TR  0   CH  2   NT  C'          17/60   von=64
BA    9   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6
BA    9   CR     3+5/6   TR  0   CH  2   NT  Bb          11/60   von=52

BA   10   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA   10   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA   10   CR         0   TR  0   CH  1   NT  Eb--          1/2   von=90
BA   10   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA   10   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA   10   CR       1/2   TR  0   CH  2   NT  C'           2/15   von=72
BA   10   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA   10   CR       5/6   TR  0   CH  2   NT  C'           2/15   von=72
BA   10   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA   10   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA   10   CR         1   TR  0   CH  2   NT  Bb         31/120   von=62
BA   10   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA   10   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA   10   CR     1+1/2   TR  0   CH  2   NT  C'         17/120   von=66
BA   10   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA   10   CR     1+5/6   TR  0   CH  1   NT  Eb--          1/6   von=90
BA   10   CR     1+5/6   TR  0   CH  2   NT  C'         17/120   von=64
BA   10   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA   10   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
BA   10   CR         2   TR  0   CH  1   NT  Eb--          1/6   von=90
BA   10   CR         2   TR  0   CH  2   NT  Bb           5/24   von=79
BA   10   CR     2+1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA   10   CR     2+1/3   TR  0   CH  2   NT  C'         17/120   von=64
BA   10   CR     2+1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA   10   CR     2+1/2   TR  0   CH  1   NT  Eb--          1/2   von=110
BA   10   CR     2+5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA   10   CR     2+5/6   TR  0   CH  2   NT  Eb'          1/10   von=85
BA   10   CR         3   TR  0   CH 10   NT  F#--          1/4   von=100
BA   10   CR         3   TR  0   CH 10   NT  D--           1/3   von=65
BA   10   CR     3+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA   10   CR     3+1/3   TR  0   CH  1   NT  A---          3/4   von=120
BA   10   CR     3+1/3   TR  0   CH  2   NT  Eb'           1/8   von=80
BA   10   CR     3+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA   10   CR     3+1/2   TR  0   CH  2   NT  C'         37/120   von=66
BA   10   CR     3+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA   10   CR     3+5/6   TR  0   CH  2   NT  Bb          11/60   von=65

BA   11   CR         0   TR  0   CH 10   NT  G#--          1/4   von=100
BA   11   CR         0   TR  0   CH 10   NT  C--           1/3   von=75
BA   11   CR         0   TR  0   CH  1   NT  Bb---         1/2   von=100
BA   11   CR       1/3   TR  0   CH 10   NT  G#--          1/6   von=68
BA   11   CR       1/2   TR  0   CH 10   NT  G#--          1/3   von=70
BA   11   CR       1/2   TR  0   CH  2   NT  C'         17/120   von=76
BA   11   CR       5/6   TR  0   CH 10   NT  G#--          1/6   von=65
BA   11   CR       5/6   TR  0   CH  2   NT  C'           3/20   von=68
BA   11   CR         1   TR  0   CH 10   NT  F#--          1/4   von=100
BA   11   CR         1   TR  0   CH 10   NT  D--           1/3   von=65
BA   11   CR         1   TR  0   CH  2   NT  Bb           3/10   von=63
BA   11   CR     1+1/3   TR  0   CH 10   NT  G#--          1/6   von=60
BA   11   CR     1+1/2   TR  0   CH 10   NT  G#--          1/3   von=61
BA   11   CR     1+1/2   TR  0   CH  2   NT  C'           3/20   von=60
BA   11   CR     1+5/6   TR  0   CH 10   NT  G#--          1/6   von=64
BA   11   CR     1+5/6   TR  0   CH  1   NT  Bb---         1/6   von=90
BA   11   CR     1+5/6   TR  0   CH  2   NT  C'         19/120   von=64
BA   11   CR         2   TR  0   CH 10   NT  G#--          1/4   von=100
BA   11   CR         2   TR  0   CH 10   NT  C--           1/3   von=75
