format=1 tracks=9 division=96

BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &16
BA    1   CR         0   TR  4   CH  4   Channel volume 105
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 49
BA    1   CR         0   TR  5   CH 16   Text type 3: "1994ish)  This is the theme played when you're wandering around the ruin areas."
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &4B
BA    1   CR         0   TR  5   CH  7   Channel volume 127
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &4B
BA    1   CR         0   TR  5   CH  7   Channel volume 127
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   Instrument 26
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &4B
BA    1   CR         0   TR  5   CH  7   Channel volume 127
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   Instrument 26
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &4B
BA    1   CR         0   TR  5   CH  7   Channel volume 127
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   Instrument 26
BA    1   CR         0   TR  5   CH  7   NT  G--         35/96   von=99   voff=99
BA    1   CR         0   TR  6   CH 16   Text type 3: "(Namely, Worlds 1-3, 3-2, and 3-3.)  It's a neat little theme, to say the least."
BA    1   CR         0   TR  6   CH  8   ST &B7 &0A &34
BA    1   CR         0   TR  6   CH  8   Channel volume 110
BA    1   CR         0   TR  6   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  6   CH  8   ST &B7 &65 &00
