format=1 tracks=11 division=96

BA    1   CR         0   TR  4   CH  5   ST &E4 &4C &41
BA    1   CR         0   TR  4   CH  5   Instrument 82
BA    1   CR         0   TR  5   CH 16   Text type 3: "MIDI out #6"
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 84
BA    1   CR         0   TR  5   CH  6   ST &E5 &08 &41
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 84
BA    1   CR         0   TR  5   CH  6   ST &E5 &08 &41
BA    1   CR         0   TR  5   CH  6   Instrument 25
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 84
BA    1   CR         0   TR  5   CH  6   ST &E5 &08 &41
BA    1   CR         0   TR  5   CH  6   Instrument 25
BA    1   CR         0   TR  5   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  5   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  5   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  5   CH  6   Channel volume 84
BA    1   CR         0   TR  5   CH  6   ST &E5 &08 &41
BA    1   CR         0   TR  5   CH  6   Instrument 25
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI out #2"
BA    1   CR         0   TR  6   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  6   CH  2   Channel volume 70
BA    1   CR         0   TR  6   CH  2   ST &E1 &08 &41
BA    1   CR         0   TR  6   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  6   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  6   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  6   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  6   CH  2   Channel volume 70
BA    1   CR         0   TR  6   CH  2   ST &E1 &08 &41
BA    1   CR         0   TR  6   CH  2   Instrument 39
BA    1   CR         0   TR  6   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  6   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  6   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  6   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  6   CH  2   Channel volume 70
BA    1   CR         0   TR  6   CH  2   ST &E1 &08 &41
BA    1   CR         0   TR  6   CH  2   Instrument 39
BA    1   CR         0   TR  6   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  6   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  6   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  6   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  6   CH  2   Channel volume 70
BA    1   CR         0   TR  6   CH  2   ST &E1 &08 &41
BA    1   CR         0   TR  6   CH  2   Instrument 39
BA    1   CR         0   TR  6   CH  2   NT  D--         47/96   von=99   voff=99
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI out #7"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  7   CH 10   NT  C--         23/96   von=99   voff=99
BA    1   CR         0   TR  8   CH 16   Text type 3: "MIDI out #9"
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &50
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &50
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &50
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &50
BA    1   CR         0   TR  8   CH 10   Channel volume 100
BA    1   CR         0   TR  8   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  8   CH 10   NT  G#--         5/32   von=84   voff=84
BA    1   CR         0   TR  9   CH 16   Text type 3: "MIDI out #10"
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  9   CH 10   Channel volume 100
BA    1   CR         0   TR  9   CH 10   ST &E9 &08 &41
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
