format=1 tracks=5 division=92

BA    2   CR   2+22/23   TR  4   CH 10   NT  F#--         5/23
BA    2   CR    3+4/23   TR  4   CH 10   NT  F#--         5/23
BA    2   CR    3+9/23   TR  1   CH  2   NT  C-          10/23
BA    2   CR    3+9/23   TR  2   CH  3   NT  C           10/23
BA    2   CR    3+9/23   TR  3   CH  4   NT  C--          5/23
BA    2   CR    3+9/23   TR  4   CH 10   NT  F#--         5/23
BA    2   CR   3+14/23   TR  4   CH 10   NT  F#--        10/23
BA    2   CR   3+19/23   TR  1   CH  2   NT  C-          10/23
BA    2   CR   3+19/23   TR  2   CH  3   NT  C           10/23
BA    2   CR   3+19/23   TR  3   CH  4   NT  C--          5/23
BA    2   CR   3+19/23   TR  4   CH 10   NT  E--       1+17/23

BA    3   CR      1/23   TR  3   CH  4   NT  C--          5/23
BA    3   CR      1/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR      6/23   TR  1   CH  2   NT  C-          10/23
BA    3   CR      6/23   TR  2   CH  3   NT  C           10/23
BA    3   CR      6/23   TR  3   CH  4   NT  C--          5/23
BA    3   CR      6/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR     11/23   TR  3   CH  4   NT  C--          5/23
BA    3   CR     11/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR     16/23   TR  1   CH  2   NT  C-          10/23
BA    3   CR     16/23   TR  2   CH  3   NT  C           10/23
BA    3   CR     16/23   TR  3   CH  4   NT  C--          5/23
BA    3   CR     16/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR     21/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR    1+3/23   TR  1   CH  2   NT  C-          10/23
BA    3   CR    1+3/23   TR  2   CH  3   NT  C           10/23
BA    3   CR    1+3/23   TR  3   CH  4   NT  C--          5/23
BA    3   CR    1+3/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR    1+8/23   TR  4   CH 10   NT  F#--        10/23
BA    3   CR   1+13/23   TR  1   CH  2   NT  Eb-         20/23
BA    3   CR   1+13/23   TR  2   CH  3   NT  F#-         20/23
BA    3   CR   1+13/23   TR  3   CH  4   NT  C#--        20/23
BA    3   CR   1+13/23   TR  4   CH 10   NT  E--       1+17/23
BA    3   CR   1+18/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR         2   TR  4   CH 10   NT  F#--         5/23
BA    3   CR    2+5/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR   2+10/23   TR  1   CH  2   NT  C-          10/23
BA    3   CR   2+10/23   TR  2   CH  3   NT  C           10/23
BA    3   CR   2+10/23   TR  3   CH  4   NT  C--          5/23
BA    3   CR   2+10/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR   2+15/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR   2+20/23   TR  1   CH  2   NT  C-          10/23
BA    3   CR   2+20/23   TR  2   CH  3   NT  C           10/23
BA    3   CR   2+20/23   TR  3   CH  4   NT  C--          5/23
BA    3   CR   2+20/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR    3+2/23   TR  4   CH 10   NT  F#--        10/23
BA    3   CR    3+7/23   TR  1   CH  2   NT  Eb-         20/23
BA    3   CR    3+7/23   TR  2   CH  3   NT  F#-         20/23
BA    3   CR    3+7/23   TR  3   CH  4   NT  C#--        20/23
BA    3   CR    3+7/23   TR  4   CH 10   NT  E--       1+17/23
BA    3   CR   3+12/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR   3+17/23   TR  4   CH 10   NT  F#--         5/23
BA    3   CR   3+22/23   TR  4   CH 10   NT  F#--         5/23

BA    4   CR      4/23   TR  1   CH  2   NT  C-          10/23
BA    4   CR      4/23   TR  2   CH  3   NT  C           10/23
BA    4   CR      4/23   TR  3   CH  4   NT  C--          5/23
BA    4   CR      4/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR      9/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR     14/23   TR  1   CH  2   NT  C-          10/23
BA    4   CR     14/23   TR  2   CH  3   NT  C           10/23
BA    4   CR     14/23   TR  3   CH  4   NT  C--          5/23
BA    4   CR     14/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR     19/23   TR  4   CH 10   NT  F#--       1+2/23
BA    4   CR    1+1/23   TR  1   CH  2   NT  Eb-         20/23
BA    4   CR    1+1/23   TR  2   CH  3   NT  F#-         20/23
BA    4   CR    1+1/23   TR  3   CH  4   NT  C#--        20/23
BA    4   CR    1+1/23   TR  4   CH 10   NT  E--          5/23
BA    4   CR    1+6/23   TR  4   CH 10   NT  E--          5/23
BA    4   CR   1+11/23   TR  4   CH 10   NT  E--          5/23
BA    4   CR   1+16/23   TR  4   CH 10   NT  E--        1+2/23
BA    4   CR   1+21/23   TR  1   CH  2   NT  Bb--        10/23
BA    4   CR   1+21/23   TR  2   CH  3   NT  Bb-         10/23
BA    4   CR   1+21/23   TR  3   CH  4   NT  Bb---        5/23
BA    4   CR   1+21/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR    2+3/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR    2+8/23   TR  1   CH  2   NT  Bb--        10/23
BA    4   CR    2+8/23   TR  2   CH  3   NT  Bb-         10/23
BA    4   CR    2+8/23   TR  3   CH  4   NT  Bb---        5/23
BA    4   CR    2+8/23   TR  4   CH 10   NT  F#--         5/23
BA    4   CR   2+13/23   TR  4   CH 10   NT  F#--        10/23
BA    4   CR   2+18/23   TR  1   CH  2   NT  Bb--        10/23
BA    4   CR   2+18/23   TR  2   CH  3   NT  Bb-         10/23
BA    4   CR   2+18/23   TR  3   CH  4   NT  Bb---        5/23
BA    4   CR   2+18/23   TR  4   CH 10   NT  E--       1+17/23
BA    4   CR         3   TR  3   CH  4   NT  Bb---        5/23
BA    4   CR         3   TR  4   CH 10   NT  F#--         5/23
BA    4   CR    3+5/23   TR  1   CH  2   NT  Bb--        10/23
