format=0 tracks=1 division=120

BA    4   CR     3+1/2   TR  0   CH  1   NT  C#'           1/2
BA    4   CR     3+3/4   TR  0   CH  3   NT  B             1/8

BA    5   CR         0   TR  0   CH 10   NT  D--           1/2
BA    5   CR         0   TR  0   CH  2   NT  F#--            1
BA    5   CR         0   TR  0   CH  1   NT  Eb'           1/2
BA    5   CR       1/2   TR  0   CH  1   NT  F#            1/2
BA    5   CR         1   TR  0   CH 10   NT  D--           1/4
BA    5   CR         1   TR  0   CH  2   NT  C#-           1/2
BA    5   CR         1   TR  0   CH  1   NT  Eb'           1/2
BA    5   CR     1+1/2   TR  0   CH 10   NT  D--           1/4
BA    5   CR     1+1/2   TR  0   CH  2   NT  Bb-             1
BA    5   CR     1+1/2   TR  0   CH  1   NT  C#'         1+1/2
BA    5   CR     1+1/2   TR  0   CH  3   NT  Bb-         1+1/2
BA    5   CR     2+1/2   TR  0   CH  2   NT  A-            1/4
BA    5   CR     2+3/4   TR  0   CH  2   NT  G#-           1/4
BA    5   CR         3   TR  0   CH  2   NT  F#-           1/2
BA    5   CR     3+1/2   TR  0   CH 10   NT  C--           1/4
BA    5   CR     3+1/2   TR  0   CH  2   NT  Bb--          1/2
BA    5   CR     3+1/2   TR  0   CH  1   NT  Eb'           1/4
BA    5   CR     3+3/4   TR  0   CH  1   NT  E'            1/4

BA    6   CR         0   TR  0   CH  1   NT  F#'             1
BA    6   CR         0   TR  0   CH 10   NT  C--           1/4
BA    6   CR         0   TR  0   CH  2   NT  B--           1/2
BA    6   CR       1/2   TR  0   CH  3   NT  B-            1/4
BA    6   CR       1/2   TR  0   CH 10   NT  F#--          1/4
BA    6   CR       3/4   TR  0   CH 10   NT  F#--          1/4
BA    6   CR       3/4   TR  0   CH  3   NT  C#            1/4
BA    6   CR         1   TR  0   CH  3   NT  Eb            1/2
BA    6   CR     1+1/2   TR  0   CH 10   NT  C--           1/4
BA    6   CR     1+1/2   TR  0   CH  3   NT  Eb            1/4
BA    6   CR     1+1/2   TR  0   CH  1   NT  F#'           1/4
BA    6   CR     1+1/2   TR  0   CH  2   NT  B--           1/2
BA    6   CR     1+3/4   TR  0   CH  1   NT  G#'           1/4
BA    6   CR     1+3/4   TR  0   CH 10   NT  C--           1/4
BA    6   CR     1+3/4   TR  0   CH  3   NT  C#            1/4
BA    6   CR         2   TR  0   CH  1   NT  F#'           1/4
BA    6   CR         2   TR  0   CH  3   NT  Eb            1/4
BA    6   CR     2+1/2   TR  0   CH 10   NT  C--           1/4
BA    6   CR     2+1/2   TR  0   CH  2   NT  B--           1/2
BA    6   CR     2+1/2   TR  0   CH  3   NT  F#            1/4
BA    6   CR     2+1/2   TR  0   CH  1   NT  E'            1/4
BA    6   CR         3   TR  0   CH  2   NT  F#-           1/2
BA    6   CR         3   TR  0   CH  3   NT  G#            1/4
BA    6   CR         3   TR  0   CH  1   NT  Eb'           1/4
BA    6   CR         3   TR  0   CH 10   NT  E--           1/4
BA    6   CR     3+1/2   TR  0   CH  1   NT  F#'           1/4
BA    6   CR     3+1/2   TR  0   CH 10   NT  F#--          1/4
BA    6   CR     3+1/2   TR  0   CH  3   NT  B             1/4
BA    6   CR     3+1/2   TR  0   CH  2   NT  F#--          1/2

BA    7   CR         0   TR  0   CH  2   NT  C#-           1/2
BA    7   CR         0   TR  0   CH  3   NT  C#'           1/4
BA    7   CR         0   TR  0   CH 10   NT  C--           1/4
BA    7   CR         0   TR  0   CH  1   NT  E'              2
BA    7   CR       1/4   TR  0   CH  3   NT  C'            1/4
BA    7   CR       1/2   TR  0   CH  3   NT  G#            1/4
BA    7   CR       1/2   TR  0   CH 10   NT  F#--          1/4
BA    7   CR       3/4   TR  0   CH 10   NT  F#--          1/4
BA    7   CR       3/4   TR  0   CH  3   NT  C#'           1/4
BA    7   CR         1   TR  0   CH  3   NT  C'            1/4
BA    7   CR     1+1/4   TR  0   CH  3   NT  G#            1/4
BA    7   CR     1+1/2   TR  0   CH 10   NT  C--           1/4
BA    7   CR     1+1/2   TR  0   CH  2   NT  C#-           1/2
BA    7   CR     1+1/2   TR  0   CH  3   NT  F#            1/4
BA    7   CR     1+3/4   TR  0   CH  3   NT  C'            1/4
BA    7   CR     1+3/4   TR  0   CH 10   NT  C--           1/4
BA    7   CR         2   TR  0   CH  3   NT  B             1/4
BA    7   CR     2+1/2   TR  0   CH  2   NT  C#-           1/2
BA    7   CR     2+1/2   TR  0   CH 10   NT  C--           1/4
BA    7   CR     2+1/2   TR  0   CH  3   NT  B             1/4
BA    7   CR         3   TR  0   CH  2   NT  G#-           1/2
BA    7   CR         3   TR  0   CH  3   NT  Bb              1
BA    7   CR         3   TR  0   CH 10   NT  E--           1/4
BA    7   CR     3+1/2   TR  0   CH 10   NT  F#--          1/4
BA    7   CR     3+1/2   TR  0   CH  2   NT  G#--          1/2
BA    7   CR     3+1/2   TR  0   CH  1   NT  C#'           1/4
BA    7   CR     3+3/4   TR  0   CH  1   NT  Eb'           1/4

BA    8   CR         0   TR  0   CH  1   NT  E'              1
BA    8   CR         0   TR  0   CH 10   NT  C--           1/4
BA    8   CR         0   TR  0   CH  2   NT  F#--          1/2
BA    8   CR       1/2   TR  0   CH  3   NT  C#            1/4
BA    8   CR       1/2   TR  0   CH 10   NT  F#--          1/4
BA    8   CR       3/4   TR  0   CH 10   NT  F#--          1/4
BA    8   CR       3/4   TR  0   CH  3   NT  F#            1/4
BA    8   CR         1   TR  0   CH  3   NT  Bb            1/2
BA    8   CR     1+1/2   TR  0   CH  1   NT  E'            1/4
BA    8   CR     1+1/2   TR  0   CH  2   NT  F#--          1/2
BA    8   CR     1+1/2   TR  0   CH 10   NT  C--           1/4
BA    8   CR     1+1/2   TR  0   CH  3   NT  Bb            1/4
BA    8   CR     1+3/4   TR  0   CH  3   NT  C#'           1/4
