format=1 tracks=12 division=96

BA    1   CR         0   TR  4   CH  4   Instrument 76
BA    1   CR         0   TR  4   CH  4   ST &B3 &02 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 76
BA    1   CR         0   TR  4   CH  4   ST &B3 &02 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   Channel volume 127
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 76
BA    1   CR         0   TR  4   CH  4   ST &B3 &02 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  5   CH 16   Text type 3: "history.  Yes, I know what you're thinking.  'Rockman World 2's soundtrack"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 110
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 110
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 91
BA    1   CR         0   TR  5   CH  5   ST &B4 &02 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 110
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 91
BA    1   CR         0   TR  5   CH  5   ST &B4 &02 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 110
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 91
BA    1   CR         0   TR  5   CH  5   ST &B4 &02 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  6   CH 16   Text type 3: "sucks ass!'  Well...it's entirely in the eye(...ear?) of the beholder, my"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &78
BA    1   CR         0   TR  6   CH  6   Channel volume 110
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
