format=1 tracks=4 division=1024

BA    4   CR 3+517/1024   TR  2   CH  2   NT  B         119/256   von=64   voff=0

BA    5   CR     1/256   TR  1   CH  1   NT  A       1+239/256   von=81   voff=0
BA    5   CR     1/256   TR  2   CH  2   NT  A        511/1024   von=69   voff=0
BA    5   CR     1/256   TR  3   CH  3   NT  A        511/1024   von=69   voff=0
BA    5   CR   273/512   TR  2   CH  2   NT  E        477/1024   von=64   voff=0
BA    5   CR   273/512   TR  3   CH  3   NT  E        477/1024   von=64   voff=0
BA    5   CR  1+15/512   TR  2   CH  2   NT  A         507/512   von=65   voff=0
BA    5   CR  1+15/512   TR  3   CH  3   NT  C#        237/512   von=65   voff=0
BA    5   CR 1+535/1024   TR  3   CH  3   NT  E        479/1024   von=64   voff=0
BA    5   CR 2+21/1024   TR  1   CH  1   NT  B       1+459/512   von=79   voff=0
BA    5   CR 2+21/1024   TR  2   CH  2   NT  B         507/512   von=67   voff=0
BA    5   CR 2+21/1024   TR  3   CH  3   NT  F#        507/512   von=67   voff=0
BA    5   CR   3+3/256   TR  2   CH  2   NT  D'      1011/1024   von=65   voff=0
BA    5   CR   3+3/256   TR  3   CH  3   NT  D       1011/1024   von=65   voff=0

BA    6   CR     1/256   TR  1   CH  1   NT  A       1+239/256   von=81   voff=0
BA    6   CR     1/256   TR  2   CH  2   NT  C#'      277/1024   von=69   voff=0
BA    6   CR     1/256   TR  3   CH  3   NT  E       1+25/1024   von=69   voff=0
BA    6   CR  297/1024   TR  2   CH  2   NT  D'       233/1024   von=64   voff=0
BA    6   CR   273/512   TR  2   CH  2   NT  C#'      477/1024   voff=0
BA    6   CR  1+15/512   TR  2   CH  2   NT  B         237/512   von=65   voff=0
BA    6   CR  1+15/512   TR  3   CH  3   NT  D         507/512   von=65   voff=0
BA    6   CR 1+535/1024   TR  2   CH  2   NT  A        479/1024   von=64   voff=0
BA    6   CR 2+21/1024   TR  1   CH  1   NT  G#      1+459/512   von=79   voff=0
BA    6   CR 2+21/1024   TR  2   CH  2   NT  B         507/512   von=67   voff=0
BA    6   CR 2+21/1024   TR  3   CH  3   NT  C#       479/1024   von=67   voff=0
BA    6   CR 2+531/1024   TR  3   CH  3   NT  D         237/512   von=64   voff=0
BA    6   CR   3+3/256   TR  2   CH  2   NT  G#      1011/1024   von=65   voff=0
