format=1 tracks=5 division=48

BA    7   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    7   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    7   CR         1   TR  2   CH  2   NT  G---          1/2
BA    7   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    7   CR     1+1/2   TR  1   CH 10   NT  Eb'           1/4
BA    7   CR     1+1/2   TR  2   CH  2   NT  G---          1/2
BA    7   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    7   CR         2   TR  2   CH  2   NT  C--           1/2
BA    7   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    7   CR     2+1/2   TR  2   CH  2   NT  Bb---         1/2
BA    7   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    7   CR         3   TR  1   CH 10   NT  Eb'           1/4
BA    7   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    7   CR     3+1/2   TR  2   CH  2   NT  C--             1
BA    7   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    8   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    8   CR       1/2   TR  2   CH  2   NT  C--           1/2
BA    8   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    8   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    8   CR         1   TR  1   CH 10   NT  Eb'           1/4
BA    8   CR         1   TR  2   CH  2   NT  G---            1
BA    8   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    8   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    8   CR         2   TR  1   CH 10   NT  Eb'           1/4
BA    8   CR         2   TR  2   CH  2   NT  C--             1
BA    8   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    8   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    8   CR         3   TR  2   CH  2   NT  Bb---           1
BA    8   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    8   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA    9   CR         0   TR  1   CH 10   NT  Eb'           1/4
BA    9   CR         0   TR  2   CH  2   NT  C--             1
BA    9   CR         0   TR  3   CH 10   NT  G#--          1/4
BA    9   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA    9   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA    9   CR         1   TR  2   CH  2   NT  G---          1/2
BA    9   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA    9   CR     1+1/2   TR  1   CH 10   NT  Eb'           1/4
BA    9   CR     1+1/2   TR  2   CH  2   NT  G---          1/2
BA    9   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA    9   CR         2   TR  2   CH  2   NT  C--           1/2
BA    9   CR         2   TR  3   CH 10   NT  G#--          1/4
BA    9   CR     2+1/2   TR  2   CH  2   NT  Bb---         1/2
BA    9   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA    9   CR         3   TR  1   CH 10   NT  Eb'           1/4
BA    9   CR         3   TR  3   CH 10   NT  G#--          1/4
BA    9   CR     3+1/2   TR  2   CH  2   NT  C--             1
BA    9   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA   10   CR         0   TR  3   CH 10   NT  G#--          1/4
BA   10   CR       1/2   TR  2   CH  2   NT  C--           1/2
BA   10   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA   10   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA   10   CR         1   TR  1   CH 10   NT  Eb'           1/4
BA   10   CR         1   TR  2   CH  2   NT  G---            1
BA   10   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA   10   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA   10   CR         2   TR  1   CH 10   NT  Eb'           1/4
BA   10   CR         2   TR  2   CH  2   NT  C--             1
BA   10   CR         2   TR  3   CH 10   NT  G#--          1/4
BA   10   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA   10   CR         3   TR  2   CH  2   NT  Bb---           1
BA   10   CR         3   TR  3   CH 10   NT  G#--          1/4
BA   10   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA   11   CR         0   TR  1   CH 10   NT  Eb'           1/4
BA   11   CR         0   TR  2   CH  2   NT  C--             1
BA   11   CR         0   TR  3   CH 10   NT  G#--          1/4
BA   11   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA   11   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA   11   CR         1   TR  2   CH  2   NT  G---          1/2
BA   11   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA   11   CR     1+1/2   TR  1   CH 10   NT  Eb'           1/4
BA   11   CR     1+1/2   TR  2   CH  2   NT  G---          1/2
BA   11   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA   11   CR         2   TR  2   CH  2   NT  C--           1/2
BA   11   CR         2   TR  3   CH 10   NT  G#--          1/4
BA   11   CR     2+1/2   TR  2   CH  2   NT  Bb---         1/2
BA   11   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA   11   CR         3   TR  1   CH 10   NT  Eb'           1/4
BA   11   CR         3   TR  3   CH 10   NT  G#--          1/4
BA   11   CR     3+1/2   TR  2   CH  2   NT  C--             1
BA   11   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA   12   CR         0   TR  3   CH 10   NT  G#--          1/4
BA   12   CR       1/2   TR  2   CH  2   NT  C--           1/2
BA   12   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA   12   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA   12   CR         1   TR  1   CH 10   NT  Eb'           1/4
BA   12   CR         1   TR  2   CH  2   NT  G---            1
BA   12   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA   12   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA   12   CR         2   TR  1   CH 10   NT  Eb'           1/4
BA   12   CR         2   TR  2   CH  2   NT  C--             1
BA   12   CR         2   TR  3   CH 10   NT  G#--          1/4
BA   12   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA   12   CR         3   TR  2   CH  2   NT  Bb---           1
BA   12   CR         3   TR  3   CH 10   NT  G#--          1/4
BA   12   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA   13   CR         0   TR  1   CH 10   NT  Eb'           1/4
BA   13   CR         0   TR  2   CH  2   NT  C--             1
BA   13   CR         0   TR  3   CH 10   NT  G#--          1/4
BA   13   CR       1/2   TR  3   CH 10   NT  G#--          1/4
BA   13   CR       3/4   TR  3   CH 10   NT  G#--          1/4
BA   13   CR         1   TR  2   CH  2   NT  G---          1/2
BA   13   CR         1   TR  4   CH 10   NT  Eb-           1/4
BA   13   CR     1+1/2   TR  1   CH 10   NT  Eb'           1/4
BA   13   CR     1+1/2   TR  2   CH  2   NT  G---          1/2
BA   13   CR     1+1/2   TR  3   CH 10   NT  G#--          1/4
BA   13   CR         2   TR  2   CH  2   NT  C--           1/2
BA   13   CR         2   TR  3   CH 10   NT  G#--          1/4
BA   13   CR     2+1/2   TR  2   CH  2   NT  Bb---         1/2
BA   13   CR     2+1/2   TR  3   CH 10   NT  G#--          1/4
BA   13   CR         3   TR  1   CH 10   NT  Eb'           1/4
BA   13   CR         3   TR  3   CH 10   NT  G#--          1/4
BA   13   CR     3+1/2   TR  2   CH  2   NT  C--             1
BA   13   CR     3+1/2   TR  3   CH 10   NT  G#--          1/4

BA   14   CR         0   TR  3   CH 10   NT  G#--          1/4
BA   14   CR      1/48   TR  1   CH 10   Channel volume 126
BA   14   CR      1/16   TR  3   CH 10   Channel volume 126
BA   14   CR      5/48   TR  4   CH 10   Channel volume 127
BA   14   CR       1/8   TR  1   CH 10   Channel volume 125
