format=1 tracks=3 division=48

BA    6   CR    1+1/12   TR  2   CH  2   Channel volume 122
BA    6   CR    1+3/16   TR  2   CH  2   Channel volume 118
BA    6   CR     1+1/4   TR  2   CH  2   NT  D-          2+3/4
BA    6   CR    1+7/24   TR  2   CH  2   Channel volume 114
BA    6   CR   1+19/48   TR  2   CH  2   Channel volume 109
BA    6   CR     1+1/2   TR  2   CH  2   Channel volume 105
BA    6   CR    1+7/12   TR  2   CH  2   Channel volume 101
BA    6   CR   1+11/16   TR  2   CH  2   Channel volume 97
BA    6   CR   1+19/24   TR  2   CH  2   Channel volume 92
BA    6   CR   1+43/48   TR  2   CH  2   Channel volume 88
BA    6   CR         2   TR  2   CH  2   Channel volume 84
BA    6   CR    2+1/12   TR  2   CH  2   Channel volume 79
BA    6   CR    2+3/16   TR  2   CH  2   Channel volume 75
BA    6   CR    2+7/24   TR  2   CH  2   Channel volume 71
BA    6   CR   2+19/48   TR  2   CH  2   Channel volume 67
BA    6   CR     2+1/2   TR  2   CH  2   Channel volume 62
BA    6   CR    2+7/12   TR  2   CH  2   Channel volume 58
BA    6   CR   2+11/16   TR  2   CH  2   Channel volume 54
BA    6   CR   2+19/24   TR  2   CH  2   Channel volume 50
BA    6   CR   2+43/48   TR  2   CH  2   Channel volume 45
BA    6   CR         3   TR  2   CH  2   Channel volume 41
BA    6   CR    3+1/12   TR  2   CH  2   Channel volume 37
BA    6   CR    3+3/16   TR  2   CH  2   Channel volume 32
BA    6   CR    3+7/24   TR  2   CH  2   Channel volume 28
BA    6   CR   3+19/48   TR  2   CH  2   Channel volume 24
BA    6   CR     3+1/2   TR  2   CH  2   Channel volume 20
BA    6   CR    3+7/12   TR  2   CH  2   Channel volume 15
BA    6   CR   3+11/16   TR  2   CH  2   Channel volume 11
BA    6   CR   3+19/24   TR  2   CH  2   Channel volume 7
BA    6   CR   3+43/48   TR  2   CH  2   Channel volume 2

BA    7   CR         0   TR  1   CH  1   NT  D''             1
BA    7   CR      1/12   TR  2   CH  2   Channel volume 127
BA    7   CR       1/4   TR  2   CH  2   NT  D''             1
BA    7   CR         1   TR  1   CH  1   NT  F#''          1/2
BA    7   CR     1+1/4   TR  2   CH  2   NT  F#''          1/2
BA    7   CR     1+1/2   TR  1   CH  1   NT  A''             1
BA    7   CR     1+3/4   TR  2   CH  2   NT  A''             1
BA    7   CR     2+1/2   TR  1   CH  1   NT  G#''          1/2
BA    7   CR     2+3/4   TR  2   CH  2   NT  G#''          1/2
BA    7   CR         3   TR  1   CH  1   NT  G''             1
BA    7   CR     3+1/4   TR  2   CH  2   NT  G''             1

BA    8   CR         0   TR  1   CH  1   NT  E''           1/2
BA    8   CR       1/4   TR  2   CH  2   NT  E''           1/2
BA    8   CR       1/2   TR  1   CH  1   NT  C#''            1
BA    8   CR       3/4   TR  2   CH  2   NT  C#''            1
BA    8   CR         2   TR  1   CH  1   NT  D-              1
BA    8   CR     2+1/4   TR  2   CH  2   NT  D-              1
BA    8   CR         3   TR  1   CH  1   NT  F#-           1/2
BA    8   CR     3+1/4   TR  2   CH  2   NT  F#-           1/2
BA    8   CR     3+1/2   TR  1   CH  1   NT  A--           1/2
BA    8   CR     3+3/4   TR  2   CH  2   NT  A--           1/2

BA    9   CR         0   TR  1   CH  1   NT  B--           1/2
BA    9   CR         0   TR  2   CH  2   Channel volume 127
BA    9   CR      1/12   TR  2   CH  2   Channel volume 124
BA    9   CR      3/16   TR  2   CH  2   Channel volume 121
BA    9   CR       1/4   TR  2   CH  2   NT  B--           1/2
BA    9   CR      7/24   TR  2   CH  2   Channel volume 118
BA    9   CR     19/48   TR  2   CH  2   Channel volume 114
BA    9   CR       1/2   TR  1   CH  1   NT  C#-           1/2
BA    9   CR       1/2   TR  2   CH  2   Channel volume 111
BA    9   CR      7/12   TR  2   CH  2   Channel volume 108
BA    9   CR     11/16   TR  2   CH  2   Channel volume 104
BA    9   CR       3/4   TR  2   CH  2   NT  C#-           1/2
BA    9   CR     19/24   TR  2   CH  2   Channel volume 101
BA    9   CR     43/48   TR  2   CH  2   Channel volume 98
BA    9   CR         1   TR  1   CH  1   NT  D-          1+1/2
BA    9   CR         1   TR  2   CH  2   Channel volume 95
BA    9   CR    1+1/12   TR  2   CH  2   Channel volume 91
BA    9   CR    1+3/16   TR  2   CH  2   Channel volume 88
BA    9   CR     1+1/4   TR  2   CH  2   NT  D-          2+3/4
BA    9   CR    1+7/24   TR  2   CH  2   Channel volume 85
BA    9   CR   1+19/48   TR  2   CH  2   Channel volume 81
BA    9   CR     1+1/2   TR  2   CH  2   Channel volume 78
BA    9   CR    1+7/12   TR  2   CH  2   Channel volume 75
BA    9   CR   1+11/16   TR  2   CH  2   Channel volume 72
BA    9   CR   1+19/24   TR  2   CH  2   Channel volume 68
BA    9   CR   1+43/48   TR  2   CH  2   Channel volume 65
BA    9   CR         2   TR  2   CH  2   Channel volume 62
BA    9   CR    2+1/12   TR  2   CH  2   Channel volume 58
BA    9   CR    2+3/16   TR  2   CH  2   Channel volume 55
BA    9   CR    2+7/24   TR  2   CH  2   Channel volume 52
BA    9   CR   2+19/48   TR  2   CH  2   Channel volume 49
BA    9   CR     2+1/2   TR  2   CH  2   Channel volume 45
BA    9   CR    2+7/12   TR  2   CH  2   Channel volume 42
BA    9   CR   2+11/16   TR  2   CH  2   Channel volume 39
BA    9   CR   2+19/24   TR  2   CH  2   Channel volume 35
BA    9   CR   2+43/48   TR  2   CH  2   Channel volume 32
BA    9   CR         3   TR  2   CH  2   Channel volume 29
BA    9   CR    3+1/12   TR  2   CH  2   Channel volume 26
BA    9   CR    3+3/16   TR  2   CH  2   Channel volume 22
BA    9   CR    3+7/24   TR  2   CH  2   Channel volume 19
BA    9   CR   3+19/48   TR  2   CH  2   Channel volume 16
BA    9   CR     3+1/2   TR  2   CH  2   Channel volume 12
BA    9   CR    3+7/12   TR  2   CH  2   Channel volume 9
BA    9   CR   3+11/16   TR  2   CH  2   Channel volume 6
BA    9   CR   3+19/24   TR  2   CH  2   Channel volume 2

BA   10   CR         0   TR  1   CH  1   NT  B'            1/2
BA   10   CR         0   TR  2   CH  2   Channel volume 127
BA   10   CR       1/4   TR  2   CH  2   NT  B'            1/2
BA   10   CR       1/2   TR  1   CH  1   NT  Bb'           1/2
BA   10   CR       3/4   TR  2   CH  2   NT  Bb'           1/2
BA   10   CR         1   TR  1   CH  1   NT  B'            1/2
BA   10   CR     1+1/4   TR  2   CH  2   NT  B'            1/2
BA   10   CR     1+1/2   TR  1   CH  1   NT  D''             1
BA   10   CR     1+3/4   TR  2   CH  2   NT  D''             1
BA   10   CR     2+1/2   TR  1   CH  1   NT  E''           1/2
BA   10   CR     2+3/4   TR  2   CH  2   NT  E''           1/2
BA   10   CR         3   TR  1   CH  1   NT  F#''          1/2
BA   10   CR     3+1/4   TR  2   CH  2   NT  F#''          1/2
BA   10   CR     3+1/2   TR  1   CH  1   NT  F''           1/2
BA   10   CR     3+3/4   TR  2   CH  2   NT  F''           1/2

BA   11   CR         0   TR  1   CH  1   NT  F#''          1/2
BA   11   CR       1/4   TR  2   CH  2   NT  F#''          1/2
BA   11   CR       1/2   TR  1   CH  1   NT  B''         1+1/4
BA   11   CR       3/4   TR  2   CH  2   NT  B''         7+1/4
BA   11   CR     43/48   TR  2   CH  2   Channel volume 127
BA   11   CR         1   TR  2   CH  2   Channel volume 126
BA   11   CR    1+1/12   TR  2   CH  2   Channel volume 124
BA   11   CR    1+3/16   TR  2   CH  2   Channel volume 122
BA   11   CR    1+7/24   TR  2   CH  2   Channel volume 121
BA   11   CR   1+19/48   TR  2   CH  2   Channel volume 119
BA   11   CR     1+1/2   TR  2   CH  2   Channel volume 117
BA   11   CR    1+7/12   TR  2   CH  2   Channel volume 115
BA   11   CR   1+11/16   TR  2   CH  2   Channel volume 114
BA   11   CR   1+19/24   TR  2   CH  2   Channel volume 112
BA   11   CR   1+43/48   TR  2   CH  2   Channel volume 110
BA   11   CR         2   TR  2   CH  2   Channel volume 108
