format=1 tracks=7 division=240

BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &1C
BA    1   CR         0   TR  4   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5E &00
BA    1   CR         0   TR  4   CH  4   Channel volume 100
BA    1   CR         0   TR  4   CH  4   ST &B3 &40 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &21
BA    1   CR         0   TR  4   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5E &00
BA    1   CR         0   TR  4   CH  4   Channel volume 58
BA    1   CR         0   TR  4   CH  4   ST &B3 &40 &00
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &00 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &20 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &00 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &20 &70
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &01
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &01
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &1C
BA    1   CR         0   TR  5   CH  5   ST &B4 &5D &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5E &00
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &B4 &40 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &32
BA    1   CR         0   TR  5   CH  5   ST &B4 &5D &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5E &00
BA    1   CR         0   TR  5   CH  5   Channel volume 50
BA    1   CR         0   TR  5   CH  5   ST &B4 &40 &00
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &20 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &20 &70
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &1C
BA    1   CR         0   TR  6   CH  6   ST &B5 &5D &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5E &00
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &B5 &40 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &32
BA    1   CR         0   TR  6   CH  6   ST &B5 &5D &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5E &00
BA    1   CR         0   TR  6   CH  6   Channel volume 50
BA    1   CR         0   TR  6   CH  6   ST &B5 &40 &00
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   NT  B--       3+43/48   von=127
BA    1   CR       1/2   TR  2   CH  2   NT  B--           1/8
BA    1   CR     59/80   TR  2   CH  2   NT  B--           1/6
BA    1   CR       5/6   TR  5   CH  5   NT  B          31/120   von=127
BA    1   CR     79/80   TR  1   CH  1   NT  A'        113/240
BA    1   CR     79/80   TR  2   CH  2   NT  B-         43/240
BA    1   CR 1+107/240   TR  1   CH  1   NT  E'        233/240
BA    1   CR   1+39/80   TR  2   CH  2   NT  B--         11/80
BA    1   CR   1+17/24   TR  2   CH  2   NT  B--        37/240
BA    1   CR   1+23/24   TR  2   CH  2   NT  B--         13/60
BA    1   CR    2+7/16   TR  1   CH  1   NT  F#'       1+25/48
BA    1   CR   2+25/48   TR  2   CH  2   NT  B--          2/15
BA    1   CR     2+3/4   TR  2   CH  2   NT  B--           1/6
BA    1   CR         3   TR  2   CH  2   NT  B-           3/16
BA    1   CR  3+61/120   TR  2   CH  2   NT  B--        19/120
BA    1   CR   3+59/80   TR  2   CH  2   NT  B--          3/16
BA    1   CR     3+4/5   TR  5   CH  5   NT  B            5/16
BA    1   CR   3+15/16   TR  6   CH  6   NT  G--       1+47/48
BA    1   CR   3+23/24   TR  1   CH  1   NT  D'        127/240

BA    2   CR         0   TR  2   CH  2   NT  D-           5/24
BA    2   CR   107/240   TR  1   CH  1   NT  E'        113/240
BA    2   CR   107/240   TR  2   CH  2   NT  D-           7/48
BA    2   CR     11/16   TR  2   CH  2   NT  D-           5/24
BA    2   CR     37/40   TR  1   CH  1   NT  F#'         41/80
BA    2   CR     47/48   TR  2   CH  2   NT  D            3/16
BA    2   CR    1+7/16   TR  1   CH  1   NT  D'         41/120
BA    2   CR   1+23/48   TR  2   CH  2   NT  D-           7/48
BA    2   CR   1+11/16   TR  2   CH  2   NT  D-         37/240
BA    2   CR 1+217/240   TR  1   CH  1   NT  D'         1+5/48
BA    2   CR   1+37/40   TR  6   CH  6   NT  A--        2+1/24
BA    2   CR   1+79/80   TR  2   CH  2   NT  E-         29/120
BA    2   CR    2+7/15   TR  2   CH  2   NT  E-           7/48
BA    2   CR   2+43/60   TR  2   CH  2   NT  E-            1/5
BA    2   CR 2+227/240   TR  1   CH  1   NT  C#'        1+1/30
BA    2   CR   2+29/30   TR  2   CH  2   NT  E          43/240
BA    2   CR 3+107/240   TR  2   CH  2   NT  E-         19/120
BA    2   CR   3+11/16   TR  2   CH  2   NT  E-           7/40
BA    2   CR   3+23/24   TR  2   CH  2   NT  B--         19/80
BA    2   CR   3+23/24   TR  6   CH  6   NT  B--      7+77/240

BA    3   CR     11/24   TR  2   CH  2   NT  B--          7/48
BA    3   CR      7/15   TR  1   CH  1   NT  B           13/24
BA    3   CR     11/16   TR  2   CH  2   NT  B--          3/16
BA    3   CR     29/30   TR  1   CH  1   NT  C#'       133/240
BA    3   CR     47/48   TR  2   CH  2   NT  B-         47/240
BA    3   CR    1+7/15   TR  2   CH  2   NT  B--         11/80
BA    3   CR   1+39/80   TR  1   CH  1   NT  D'          41/80
BA    3   CR   1+11/16   TR  2   CH  2   NT  B--           1/6
BA    3   CR   1+15/16   TR  2   CH  2   NT  B--         19/80
BA    3   CR   1+29/30   TR  1   CH  1   NT  B               1
BA    3   CR 2+107/240   TR  2   CH  2   NT  B--          7/60
BA    3   CR     2+2/3   TR  2   CH  2   NT  B--        47/240
BA    3   CR   2+15/16   TR  1   CH  1   NT  F#         1+1/48
BA    3   CR   2+47/48   TR  2   CH  2   NT  B-           5/24
BA    3   CR    3+7/15   TR  2   CH  2   NT  B--         11/80
BA    3   CR   3+27/40   TR  2   CH  2   NT  B--          7/48
BA    3   CR   3+29/30   TR  2   CH  2   NT  A--         11/48
BA    3   CR   3+47/48   TR  1   CH  1   NT  E             1/2

BA    4   CR      7/16   TR  2   CH  2   NT  A--          2/15
BA    4   CR   107/240   TR  1   CH  1   NT  F#          11/24
BA    4   CR       2/3   TR  2   CH  2   NT  A--          5/24
BA    4   CR   227/240   TR  1   CH  1   NT  A         103/240
BA    4   CR     29/30   TR  2   CH  2   NT  A-           5/24
BA    4   CR   1+11/24   TR  1   CH  1   NT  B            7/15
BA    4   CR   1+11/24   TR  2   CH  2   NT  A--        37/240
BA    4   CR   1+17/24   TR  2   CH  2   NT  A--        47/240
BA    4   CR 1+227/240   TR  1   CH  1   NT  F#       1+23/240
BA    4   CR   2+7/240   TR  2   CH  2   NT  A--         13/48
BA    4   CR    2+7/12   TR  2   CH  2   NT  A--          7/48
BA    4   CR   2+19/24   TR  2   CH  2   NT  A--         13/60
BA    4   CR    3+1/16   TR  1   CH  1   NT  E          1+1/48
BA    4   CR  3+17/240   TR  2   CH  2   NT  A-         53/240
BA    4   CR    3+9/16   TR  2   CH  2   NT  A--        37/240
BA    4   CR 3+187/240   TR  2   CH  2   NT  A--         11/80

BA    5   CR     7/240   TR  6   CH  6   NT  B--       3+19/24
BA    5   CR      1/24   TR  2   CH  2   NT  B--        31/120
BA    5   CR    17/240   TR  1   CH  1   NT  F#'         15/16
BA    5   CR     39/80   TR  2   CH  2   NT  B--          7/48
BA    5   CR     43/60   TR  5   CH  5   NT  B          29/120
BA    5   CR     35/48   TR  2   CH  2   NT  B--        47/240
BA    5   CR   1+1/120   TR  1   CH  1   NT  A'         59/120
BA    5   CR   1+1/120   TR  2   CH  2   NT  B-         53/240
BA    5   CR   1+11/24   TR  2   CH  2   NT  B--          7/48
BA    5   CR 1+127/240   TR  1   CH  1   NT  E'              1
BA    5   CR   1+11/16   TR  2   CH  2   NT  B--        37/240
BA    5   CR 1+227/240   TR  2   CH  2   NT  B--          5/24
BA    5   CR    2+7/16   TR  2   CH  2   NT  B--          7/48
BA    5   CR     2+1/2   TR  1   CH  1   NT  F#'       1+17/40
BA    5   CR     2+2/3   TR  2   CH  2   NT  B--          5/24
BA    5   CR   2+79/80   TR  2   CH  2   NT  B-         43/240
BA    5   CR    3+5/12   TR  2   CH  2   NT  B--           1/6
BA    5   CR   3+49/80   TR  5   CH  5   NT  B           21/80
BA    5   CR     3+2/3   TR  2   CH  2   NT  B--          7/40
BA    5   CR     3+5/6   TR  6   CH  6   NT  G--        2+1/24
