format=1 tracks=11 division=96

BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 62
BA    1   CR         0   TR  4   CH  4   ST &B3 &02 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   Channel volume 110
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 62
BA    1   CR         0   TR  4   CH  4   ST &B3 &02 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   Channel volume 110
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 62
BA    1   CR         0   TR  4   CH  4   ST &B3 &02 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  4   CH  4   NT  Eb--      3+47/48   von=126   voff=126
BA    1   CR         0   TR  5   CH 16   Text type 3: "MUCH better...  Frick.  I tried about twenty different ways to make this sound"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 85
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 85
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 20
BA    1   CR         0   TR  5   CH  5   ST &B4 &02 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 85
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 20
BA    1   CR         0   TR  5   CH  5   ST &B4 &02 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &78
BA    1   CR         0   TR  5   CH  5   Channel volume 85
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 20
BA    1   CR         0   TR  5   CH  5   ST &B4 &02 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  5   CH  5   NT  Eb'         11/48   von=126   voff=126
