format=0 tracks=1 division=192

BA    3   CR         3   TR  0   CH  3   NT  D           35/96
BA    3   CR         3   TR  0   CH  4   NT  F#--          5/6
BA    3   CR     3+3/8   TR  0   CH  3   NT  E           35/96
BA    3   CR     3+1/2   TR  0   CH 10   NT  C--         47/96
BA    3   CR     3+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    3   CR     3+3/4   TR  0   CH  2   NT  C#'         23/96
BA    3   CR     3+3/4   TR  0   CH  3   NT  F           23/96

BA    4   CR         0   TR  0   CH 10   NT  F#--        23/96
BA    4   CR         0   TR  0   CH  2   NT  B           71/96
BA    4   CR         0   TR  0   CH  3   NT  D           71/96
BA    4   CR         0   TR  0   CH  4   NT  B--           5/6
BA    4   CR       1/4   TR  0   CH 10   NT  F#--        23/96
BA    4   CR       1/2   TR  0   CH 10   NT  Bb--        23/96
BA    4   CR       3/4   TR  0   CH 10   NT  F#--        23/96
BA    4   CR       3/4   TR  0   CH  2   NT  B           23/96
BA    4   CR       3/4   TR  0   CH  3   NT  D           23/96
BA    4   CR         1   TR  0   CH 10   NT  E--         23/96
BA    4   CR         1   TR  0   CH 10   NT  F#--        23/96
BA    4   CR         1   TR  0   CH  2   NT  F#'         1+3/4
BA    4   CR         1   TR  0   CH  3   NT  D'            5/6
BA    4   CR         1   TR  0   CH  4   NT  B--           5/6
BA    4   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA    4   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    4   CR         2   TR  0   CH 10   NT  C--         47/96
BA    4   CR         2   TR  0   CH 10   NT  F#--        47/96
BA    4   CR         2   TR  0   CH  3   NT  C#'         35/96
BA    4   CR         2   TR  0   CH  4   NT  B--           5/6
BA    4   CR     2+3/8   TR  0   CH  3   NT  B           35/96
BA    4   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    4   CR     2+3/4   TR  0   CH  3   NT  A           23/96
BA    4   CR         3   TR  0   CH 10   NT  E--         23/96
BA    4   CR         3   TR  0   CH 10   NT  F#--        23/96
BA    4   CR         3   TR  0   CH  2   NT  E'          35/96
BA    4   CR         3   TR  0   CH  3   NT  G           35/96
BA    4   CR         3   TR  0   CH  4   NT  B--           5/6
BA    4   CR     3+1/4   TR  0   CH 10   NT  F#--        23/96
BA    4   CR     3+3/8   TR  0   CH  2   NT  F#'         35/96
BA    4   CR     3+3/8   TR  0   CH  3   NT  F#          35/96
BA    4   CR     3+1/2   TR  0   CH 10   NT  Bb--        23/96
BA    4   CR     3+3/4   TR  0   CH 10   NT  F#--        23/96
BA    4   CR     3+3/4   TR  0   CH  2   NT  G'          23/96
BA    4   CR     3+3/4   TR  0   CH  3   NT  E           23/96

BA    5   CR         0   TR  0   CH 10   NT  C--         47/96
BA    5   CR         0   TR  0   CH 10   NT  F#--        47/96
BA    5   CR         0   TR  0   CH  2   NT  F#'           5/6
BA    5   CR         0   TR  0   CH  3   NT  D             5/6
BA    5   CR         0   TR  0   CH  4   NT  B--           5/6
BA    5   CR       1/2   TR  0   CH 10   NT  Bb--        47/96
BA    5   CR         1   TR  0   CH 10   NT  E--         23/96
BA    5   CR         1   TR  0   CH 10   NT  F#--        23/96
BA    5   CR         1   TR  0   CH  2   NT  B             5/6
BA    5   CR         1   TR  0   CH  3   NT  F#            5/6
BA    5   CR         1   TR  0   CH  4   NT  B--           5/6
BA    5   CR     1+1/4   TR  0   CH 10   NT  F#--        23/96
BA    5   CR     1+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    5   CR         2   TR  0   CH 10   NT  C--         47/96
BA    5   CR         2   TR  0   CH 10   NT  F#--        47/96
BA    5   CR         2   TR  0   CH  2   NT  A'          71/96
BA    5   CR         2   TR  0   CH  3   NT  E           35/96
BA    5   CR         2   TR  0   CH  4   NT  C-            5/6
BA    5   CR     2+3/8   TR  0   CH  3   NT  F#          35/96
BA    5   CR     2+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    5   CR     2+3/4   TR  0   CH  2   NT  G'          23/96
BA    5   CR     2+3/4   TR  0   CH  3   NT  G           23/96
BA    5   CR         3   TR  0   CH 10   NT  E--         47/96
BA    5   CR         3   TR  0   CH 10   NT  F#--        47/96
BA    5   CR         3   TR  0   CH  2   NT  F#'         71/96
BA    5   CR         3   TR  0   CH  3   NT  A           35/96
BA    5   CR         3   TR  0   CH  4   NT  C-            5/6
BA    5   CR     3+3/8   TR  0   CH  3   NT  B           35/96
BA    5   CR     3+1/2   TR  0   CH 10   NT  C--         47/96
BA    5   CR     3+1/2   TR  0   CH 10   NT  Bb--        47/96
BA    5   CR     3+3/4   TR  0   CH  2   NT  E'          23/96
BA    5   CR     3+3/4   TR  0   CH  3   NT  C'          23/96

BA    6   CR         0   TR  0   CH 10   NT  F#--        23/96
BA    6   CR         0   TR  0   CH  2   NT  D'          35/96
BA    6   CR         0   TR  0   CH  3   NT  B           35/96
BA    6   CR         0   TR  0   CH  4   NT  G--           5/6
BA    6   CR       1/4   TR  0   CH 10   NT  F#--        23/96
BA    6   CR       3/8   TR  0   CH  2   NT  B           35/96
BA    6   CR       3/8   TR  0   CH  3   NT  G           35/96
BA    6   CR       1/2   TR  0   CH 10   NT  Bb--        23/96
BA    6   CR       3/4   TR  0   CH 10   NT  F#--        23/96
BA    6   CR       3/4   TR  0   CH  2   NT  C'          23/96
BA    6   CR       3/4   TR  0   CH  3   NT  E           23/96
BA    6   CR         1   TR  0   CH 10   NT  E--         23/96
BA    6   CR         1   TR  0   CH 10   NT  F#--        23/96
BA    6   CR         1   TR  0   CH  2   NT  D'          1+3/4
