format=1 tracks=3 division=192

BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    5   CR  2+31/192   TR  1   CH  1   NT  B'          17/48
BA    5   CR   2+25/48   TR  1   CH  1   NT  C''        67/192
BA    5   CR 2+167/192   TR  1   CH  1   NT  D'          17/48
BA    5   CR 2+167/192   TR  1   CH  1   NT  A'          17/48
BA    5   CR     2+7/8   TR  1   CH  1   NT  D''           1/6
BA    5   CR    3+1/24   TR  1   CH  1   NT  A'         35/192
BA    5   CR   3+11/48   TR  1   CH  1   NT  F#'           1/6
BA    5   CR   3+19/48   TR  1   CH  1   NT  A'         35/192
BA    5   CR   3+55/96   TR  1   CH  1   NT  D'          17/48
BA    5   CR   3+55/96   TR  1   CH  1   NT  A'          1/192
BA    5   CR   3+37/64   TR  1   CH  1   NT  D''         11/64
BA    5   CR     3+3/4   TR  1   CH  1   NT  A'          17/96
BA    5   CR 3+179/192   TR  1   CH  1   NT  F#'           1/6

BA    6   CR      5/48   TR  1   CH  1   NT  A'         35/192
BA    6   CR      9/32   TR  1   CH  1   NT  D'          17/48
BA    6   CR      9/32   TR  1   CH  1   NT  A'          1/192
BA    6   CR    55/192   TR  1   CH  1   NT  D''         11/64
BA    6   CR     11/24   TR  1   CH  1   NT  A'          17/96
BA    6   CR     41/64   TR  1   CH  1   NT  F#'         11/64
BA    6   CR     13/16   TR  1   CH  1   NT  A'         35/192
BA    6   CR   191/192   TR  1   CH  1   NT  D'          11/32
BA    6   CR   191/192   TR  1   CH  1   NT  A'         67/192
BA    6   CR         1   TR  1   CH  1   NT  D''        31/192
BA    6   CR  1+31/192   TR  1   CH  1   NT  A'         35/192
BA    6   CR   1+11/32   TR  1   CH  1   NT  F#'         11/64
BA    6   CR   1+33/64   TR  1   CH  1   NT  A'         35/192
BA    6   CR   1+67/96   TR  1   CH  1   NT  D'         67/192
BA    6   CR   1+67/96   TR  1   CH  1   NT  A'          17/48
BA    6   CR   1+45/64   TR  1   CH  1   NT  D''           1/6
BA    6   CR 1+167/192   TR  1   CH  1   NT  A'         35/192
BA    6   CR    2+5/96   TR  1   CH  1   NT  F#'         11/64
BA    6   CR  2+43/192   TR  1   CH  1   NT  A'         35/192
BA    6   CR  2+77/192   TR  1   CH  1   NT  A'          1/192
BA    6   CR   2+13/32   TR  1   CH  1   NT  D'         67/192
BA    6   CR   2+13/32   TR  1   CH  1   NT  D''         11/64
BA    6   CR   2+37/64   TR  1   CH  1   NT  A'          17/96
BA    6   CR   2+73/96   TR  1   CH  1   NT  F#'         11/64
BA    6   CR   2+15/16   TR  1   CH  1   NT  A'          17/96
BA    6   CR    3+7/64   TR  1   CH  1   NT  D'          17/48
BA    6   CR   3+11/96   TR  1   CH  1   NT  A'         67/192
BA    6   CR  3+23/192   TR  1   CH  1   NT  D'          11/32
BA    6   CR   3+15/32   TR  1   CH  1   NT  D'          17/48
BA    6   CR 3+157/192   TR  1   CH  1   NT  D'          1/192
BA    6   CR 3+157/192   TR  1   CH  1   NT  A'          17/48
BA    6   CR   3+79/96   TR  1   CH  1   NT  F'          17/48

BA    7   CR     17/96   TR  1   CH  1   NT  F#'           1/6
BA    7   CR   101/192   TR  1   CH  1   NT  G          67/192
BA    7   CR   101/192   TR  1   CH  1   NT  D'         67/192
BA    7   CR     17/32   TR  1   CH  1   NT  G'         67/192
BA    7   CR   1+15/64   TR  1   CH  1   NT  G          67/192
BA    7   CR   1+15/64   TR  1   CH  1   NT  D'          17/48
