format=1 tracks=33 division=480

BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &50
BA    1   CR         0   TR  5   CH  5   ST &B4 &7F &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &01
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &01 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &40 &00
BA    1   CR         0   TR  5   CH  5   NT  E'            2/5   von=73
BA    1   CR         0   TR  6   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &20 &00
BA    1   CR         0   TR  6   CH 10   Instrument 1
BA    1   CR         0   TR  6   CH 10   Channel volume 100
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  6   CH 10   Channel volume 70
BA    1   CR         0   TR  8   CH  8   ST &B7 &00 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &20 &00
BA    1   CR         0   TR  8   CH  8   Instrument 9
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &26 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &01
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &7A &64
BA    1   CR         0   TR  8   CH  8   ST &B7 &7F &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &7D &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &79 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5D &64
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &50
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &5E &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &40 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &01 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &02
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &00 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &20 &00
BA    1   CR         0   TR  9   CH  9   Instrument 74
BA    1   CR         0   TR  9   CH  9   Channel volume 100
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 100
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &02
BA    1   CR         0   TR  9   CH  9   ST &B8 &79 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &7D &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &7F &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &7A &64
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &01
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &26 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &5E &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &5B &50
BA    1   CR         0   TR  9   CH  9   ST &B8 &5D &64
BA    1   CR         0   TR  9   CH  9   ST &B8 &01 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &40 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &40
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR       1/4   TR  1   CH  1   NT  G            9/40
BA    1   CR       1/4   TR  2   CH  2   NT  B            9/40   von=45
BA    1   CR       1/2   TR  1   CH  1   NT  F#           9/40   von=54
BA    1   CR       1/2   TR  2   CH  2   NT  A            9/40   von=47
BA    1   CR       1/2   TR  5   CH  5   NT  B             2/5   von=66
BA    1   CR       3/4   TR  1   CH  1   NT  G            9/40   von=55
BA    1   CR       3/4   TR  2   CH  2   NT  B            9/40   von=49
BA    1   CR         1   TR  1   CH  1   NT  E            9/40   von=62
BA    1   CR         1   TR  2   CH  2   NT  E            9/40   von=51
BA    1   CR         1   TR  5   CH  5   NT  F#            2/5   von=73
BA    1   CR     1+1/4   TR  1   CH  1   NT  G            9/40
BA    1   CR     1+1/4   TR  2   CH  2   NT  B            9/40
BA    1   CR     1+1/2   TR  1   CH  1   NT  F#           9/40
BA    1   CR     1+1/2   TR  2   CH  2   NT  A            9/40   von=53
BA    1   CR     1+1/2   TR  5   CH  5   NT  D'            2/5   von=66
BA    1   CR     1+3/4   TR  1   CH  1   NT  G            9/40
BA    1   CR     1+3/4   TR  2   CH  2   NT  B            9/40   von=56
BA    1   CR         2   TR  1   CH  1   NT  F#           9/40
BA    1   CR         2   TR  2   CH  2   NT  F#           9/40   von=57
BA    1   CR         2   TR  3   CH  3   NT  F#--            2   von=67
BA    1   CR         2   TR  3   CH  3   NT  F#---           2
BA    1   CR         2   TR  4   CH  4   NT  F#-             2   von=66
BA    1   CR         2   TR  4   CH  4   NT  C               2
BA    1   CR         2   TR  5   CH  5   NT  F#'           2/5   von=72
BA    1   CR     2+1/4   TR  1   CH  1   NT  A            9/40   von=63
BA    1   CR     2+1/4   TR  2   CH  2   NT  C'           9/40   von=58
BA    1   CR     2+1/2   TR  1   CH  1   NT  G            9/40   von=67
BA    1   CR     2+1/2   TR  2   CH  2   NT  B            9/40   von=59
BA    1   CR     2+1/2   TR  5   CH  5   NT  C'            2/5   von=65
BA    1   CR     2+3/4   TR  1   CH  1   NT  A            9/40   von=69
BA    1   CR     2+3/4   TR  2   CH  2   NT  C'           9/40
BA    1   CR         3   TR  1   CH  1   NT  F#           9/40
BA    1   CR         3   TR  2   CH  2   NT  F#           9/40   von=61
BA    1   CR         3   TR  5   CH  5   NT  A             2/5   von=72
BA    1   CR     3+1/4   TR  1   CH  1   NT  A            9/40
BA    1   CR     3+1/4   TR  2   CH  2   NT  C'           9/40
BA    1   CR     3+1/2   TR  1   CH  1   NT  G            9/40   von=71
BA    1   CR     3+1/2   TR  2   CH  2   NT  B            9/40   von=62
BA    1   CR     3+1/2   TR  5   CH  5   NT  F#'           2/5   von=63
BA    1   CR     3+3/4   TR  1   CH  1   NT  A            9/40   von=74
BA    1   CR     3+3/4   TR  2   CH  2   NT  C'           9/40   von=63

BA    2   CR         0   TR  1   CH  1   NT  G            9/40   von=79
BA    2   CR         0   TR  2   CH  2   NT  B            9/40   von=65
BA    2   CR         0   TR  3   CH  3   NT  G---            2   von=78
BA    2   CR         0   TR  3   CH  3   NT  G--             2
BA    2   CR         0   TR  4   CH  4   NT  G-              2   von=80
BA    2   CR         0   TR  4   CH  4   NT  D               2
BA    2   CR         0   TR  5   CH  5   NT  G'            2/5   von=77
BA    2   CR       1/4   TR  1   CH  1   NT  B            9/40
BA    2   CR       1/4   TR  2   CH  2   NT  D'           9/40
BA    2   CR       1/2   TR  1   CH  1   NT  A            9/40   von=77
BA    2   CR       1/2   TR  2   CH  2   NT  C'           9/40
BA    2   CR       1/2   TR  5   CH  5   NT  D'            2/5   von=69
BA    2   CR       3/4   TR  1   CH  1   NT  B            9/40   von=79
BA    2   CR       3/4   TR  2   CH  2   NT  D'           9/40
BA    2   CR         1   TR  1   CH  1   NT  G            9/40   von=81
BA    2   CR         1   TR  2   CH  2   NT  B            9/40
BA    2   CR         1   TR  5   CH  5   NT  B             2/5   von=79
BA    2   CR     1+1/4   TR  1   CH  1   NT  B            9/40   von=82
BA    2   CR     1+1/4   TR  2   CH  2   NT  D'           9/40   von=66
BA    2   CR     1+1/2   TR  1   CH  1   NT  A            9/40   von=83
BA    2   CR     1+1/2   TR  2   CH  2   NT  C'           9/40   von=68
BA    2   CR     1+1/2   TR  5   CH  5   NT  G'            2/5   von=75
BA    2   CR     1+3/4   TR  1   CH  1   NT  B            9/40   von=86
BA    2   CR     1+3/4   TR  2   CH  2   NT  D'           9/40   von=69
BA    2   CR         2   TR  1   CH  1   NT  G#           9/40
BA    2   CR         2   TR  2   CH  2   NT  B            9/40   von=65
BA    2   CR         2   TR  3   CH  3   NT  G#--            2   von=87
BA    2   CR         2   TR  3   CH  3   NT  G#---           2
BA    2   CR         2   TR  4   CH  4   NT  G#-             2   von=85
BA    2   CR         2   TR  4   CH  4   NT  D#              2
BA    2   CR         2   TR  5   CH  5   NT  G#'           2/5   von=81
BA    2   CR     2+1/4   TR  1   CH  1   NT  B            9/40   von=87
BA    2   CR     2+1/4   TR  2   CH  2   NT  D'           9/40   von=67
BA    2   CR     2+1/2   TR  1   CH  1   NT  A            9/40
BA    2   CR     2+1/2   TR  2   CH  2   NT  C'           9/40   von=69
BA    2   CR     2+1/2   TR  5   CH  5   NT  D'            2/5   von=70
BA    2   CR     2+3/4   TR  1   CH  1   NT  B            9/40   von=88
BA    2   CR     2+3/4   TR  2   CH  2   NT  D'           9/40
BA    2   CR         3   TR  1   CH  1   NT  G#           9/40   von=89
BA    2   CR         3   TR  2   CH  2   NT  B            9/40   von=72
BA    2   CR         3   TR  5   CH  5   NT  B             2/5   von=85
