format=1 tracks=12 division=96

BA    1   CR         0   TR  5   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  5   CH  8   Instrument 47
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI Out #6"
BA    1   CR         0   TR  6   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  6   CH  4   Channel volume 100
BA    1   CR         0   TR  6   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  6   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  6   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  6   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  6   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  6   CH  4   Channel volume 100
BA    1   CR         0   TR  6   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  6   CH  4   Instrument 81
BA    1   CR         0   TR  6   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  6   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  6   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  6   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  6   CH  4   Channel volume 100
BA    1   CR         0   TR  6   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  6   CH  4   Instrument 81
BA    1   CR         0   TR  6   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  6   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  6   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  6   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  6   CH  4   Channel volume 100
BA    1   CR         0   TR  6   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  6   CH  4   Instrument 81
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI Out #7"
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 111
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   ST &B4 &65 &00
