format=1 tracks=8 division=96

BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 30
BA    1   CR         0   TR  5   CH 16   Text type 3: ""A shortie but a goodie, arranged for your listening pleasure.""
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &46
BA    1   CR         0   TR  5   CH  5   Channel volume 109
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &46
BA    1   CR         0   TR  5   CH  5   Channel volume 109
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &46
BA    1   CR         0   TR  5   CH  5   Channel volume 109
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &46
BA    1   CR         0   TR  5   CH  5   Channel volume 109
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 40
BA    1   CR         0   TR  6   CH 16   Text type 3: "Visit my site, "Music of the Game II:  Café De La Luna" for more MIDI goodness!"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &3A
BA    1   CR         0   TR  6   CH  6   Channel volume 107
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
