format=1 tracks=5 division=240

BA    4   CR     2+1/2   TR  1   CH 10   NT  D-            1/2
BA    4   CR     2+1/2   TR  1   CH 10   NT  Eb--          1/2
BA    4   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    4   CR     2+1/2   TR  2   CH  1   NT  G---          1/2
BA    4   CR     2+1/2   TR  3   CH  2   NT  G-            1/2
BA    4   CR     2+1/2   TR  3   CH  2   NT  D             1/2
BA    4   CR         3   TR  1   CH 10   NT  C-            1/2
BA    4   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA    4   CR         3   TR  1   CH 10   NT  A---          1/2
BA    4   CR         3   TR  2   CH  1   NT  G---          1/2
BA    4   CR         3   TR  3   CH  2   NT  G-            1/2
BA    4   CR         3   TR  3   CH  2   NT  D             1/2
BA    4   CR     3+1/2   TR  1   CH 10   NT  B--           1/2
BA    4   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    4   CR     3+1/2   TR  1   CH 10   NT  Eb--          1/2
BA    4   CR     3+1/2   TR  2   CH  1   NT  G---          1/2
BA    4   CR     3+1/2   TR  3   CH  2   NT  D             1/2
BA    4   CR     3+1/2   TR  3   CH  2   NT  G-            1/2

BA    5   CR         0   TR  1   CH 10   NT  G-            1/2
BA    5   CR         0   TR  1   CH 10   NT  A---          1/2
BA    5   CR         0   TR  2   CH  1   NT  C--             1
BA    5   CR         0   TR  3   CH  2   NT  C             1/2
BA    5   CR         0   TR  3   CH  2   NT  G-            1/2
BA    5   CR         0   TR  4   CH  3   NT  G'            1/2   von=83
BA    5   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR       1/2   TR  4   CH  3   NT  G'            1/2
BA    5   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA    5   CR         1   TR  1   CH 10   NT  A---          1/2
BA    5   CR         1   TR  3   CH  2   NT  G-            1/2
BA    5   CR         1   TR  3   CH  2   NT  D             1/2
BA    5   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR     1+1/2   TR  2   CH  1   NT  C--           1/2
BA    5   CR     1+1/2   TR  4   CH  3   NT  G'          1+1/2
BA    5   CR         2   TR  1   CH 10   NT  A---          1/2
BA    5   CR         2   TR  2   CH  1   NT  G---            1
BA    5   CR         2   TR  3   CH  2   NT  Eb            1/2
BA    5   CR         2   TR  3   CH  2   NT  G-            1/2
BA    5   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA    5   CR         3   TR  1   CH 10   NT  A---          1/2
BA    5   CR         3   TR  3   CH  2   NT  G-            1/2
BA    5   CR         3   TR  3   CH  2   NT  D             1/2
BA    5   CR         3   TR  4   CH  3   NT  F'              1
BA    5   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    5   CR     3+1/2   TR  2   CH  1   NT  G---          1/2

BA    6   CR         0   TR  1   CH 10   NT  A---          1/2
BA    6   CR         0   TR  2   CH  1   NT  C--             1
BA    6   CR         0   TR  3   CH  2   NT  C             1/2
BA    6   CR         0   TR  3   CH  2   NT  G-            1/2
BA    6   CR         0   TR  4   CH  3   NT  Eb'           1/2
BA    6   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR       1/2   TR  4   CH  3   NT  C'            1/2
BA    6   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA    6   CR         1   TR  1   CH 10   NT  A---          1/2
BA    6   CR         1   TR  3   CH  2   NT  G-            1/2
BA    6   CR         1   TR  3   CH  2   NT  D             1/2
BA    6   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR     1+1/2   TR  2   CH  1   NT  C--           1/2
BA    6   CR     1+1/2   TR  4   CH  3   NT  C'              2
BA    6   CR         2   TR  1   CH 10   NT  A---          1/2
BA    6   CR         2   TR  2   CH  1   NT  G---            1
BA    6   CR         2   TR  3   CH  2   NT  Eb            1/2
BA    6   CR         2   TR  3   CH  2   NT  G-            1/2
BA    6   CR     2+1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR         3   TR  1   CH 10   NT  Eb--          1/2
BA    6   CR         3   TR  1   CH 10   NT  A---          1/2
BA    6   CR         3   TR  3   CH  2   NT  G-            1/2
BA    6   CR         3   TR  3   CH  2   NT  D             1/2
BA    6   CR     3+1/2   TR  1   CH 10   NT  F#--          1/2
BA    6   CR     3+1/2   TR  2   CH  1   NT  G---          1/2

BA    7   CR         0   TR  1   CH 10   NT  A---          1/2
BA    7   CR         0   TR  2   CH  1   NT  C--             1
BA    7   CR         0   TR  3   CH  2   NT  C             1/2
BA    7   CR         0   TR  3   CH  2   NT  G-            1/2
BA    7   CR         0   TR  4   CH  3   NT  Bb              1
BA    7   CR       1/2   TR  1   CH 10   NT  F#--          1/2
BA    7   CR         1   TR  1   CH 10   NT  Eb--          1/2
BA    7   CR         1   TR  1   CH 10   NT  A---          1/2
BA    7   CR         1   TR  3   CH  2   NT  G-            1/2
BA    7   CR         1   TR  3   CH  2   NT  D             1/2
BA    7   CR         1   TR  4   CH  3   NT  C'              1
BA    7   CR     1+1/2   TR  1   CH 10   NT  F#--          1/2
BA    7   CR     1+1/2   TR  2   CH  1   NT  C--           1/2
BA    7   CR         2   TR  1   CH 10   NT  A---          1/2
