format=1 tracks=11 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 187
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "MIDI Ch. 1"
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 39
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI Ch. 6"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 82
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 82
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 82
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI Ch. 7"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 30
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 30
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 100
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 30
BA    1   CR         0   TR  8   CH 16   Text type 3: "MIDI Ch. 8"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 30
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 30
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 100
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 30
BA    1   CR         0   TR  9   CH 16   Text type 3: "MIDI Ch. 9"
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 100
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 100
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 56
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 100
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 56
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 100
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 56
BA    1   CR         0   TR 10   CH 16   Text type 3: "MIDI Drums"
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 25
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 25
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 25
BA    1   CR     2+3/4   TR 10   CH 10   NT  D--         23/96   von=111
BA    1   CR     2+3/4   TR 10   CH 10   NT  G--         23/96
BA    1   CR     2+3/4   TR 10   CH 10   NT  C-          23/96
BA    1   CR         3   TR 10   CH 10   NT  D--         95/96
BA    1   CR         3   TR 10   CH 10   NT  G--         95/96
BA    1   CR         3   TR 10   CH 10   NT  C-          95/96

BA    2   CR         0   TR  1   CH  1   NT  Bb          47/96   von=111
BA    2   CR         0   TR  2   CH  2   NT  Bb          47/96   von=111
BA    2   CR         0   TR  3   CH  3   NT  C#        1+47/96   von=111
BA    2   CR         0   TR  4   CH  4   NT  C#        1+47/96   von=111
BA    2   CR         0   TR  5   CH  5   NT  Bb---       47/96   von=111
BA    2   CR         0   TR  6   CH  6   NT  Bb---       47/96   von=111
BA    2   CR         0   TR  7   CH  7   NT  Bb          47/96   von=111
BA    2   CR         0   TR  8   CH  8   NT  C#        1+47/96   von=111
BA    2   CR         0   TR 10   CH 10   NT  C--         95/96   von=93
BA    2   CR         0   TR 10   CH 10   NT  F#--        23/96   von=100
BA    2   CR       1/2   TR  1   CH  1   NT  Bb          23/96
BA    2   CR       1/2   TR  2   CH  2   NT  Bb          23/96
BA    2   CR       1/2   TR  5   CH  5   NT  Bb---       23/96
BA    2   CR       1/2   TR  6   CH  6   NT  Bb---       23/96
BA    2   CR       1/2   TR  7   CH  7   NT  Bb          23/96
BA    2   CR       1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    2   CR       3/4   TR  1   CH  1   NT  Bb          23/96
BA    2   CR       3/4   TR  2   CH  2   NT  Bb          23/96
BA    2   CR       3/4   TR  5   CH  5   NT  Bb---       23/96
BA    2   CR       3/4   TR  6   CH  6   NT  Bb---       23/96
BA    2   CR       3/4   TR  7   CH  7   NT  Bb          23/96
BA    2   CR       3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    2   CR         1   TR  1   CH  1   NT  Bb          47/96
BA    2   CR         1   TR  2   CH  2   NT  Bb          47/96
BA    2   CR         1   TR  5   CH  5   NT  Bb---       47/96
BA    2   CR         1   TR  6   CH  6   NT  Bb---       47/96
BA    2   CR         1   TR  7   CH  7   NT  Bb          47/96
BA    2   CR         1   TR 10   CH 10   NT  F#--        23/96   von=100
BA    2   CR         1   TR 10   CH 10   NT  E--         95/96   von=127
BA    2   CR     1+1/2   TR  1   CH  1   NT  C'          47/96
BA    2   CR     1+1/2   TR  2   CH  2   NT  C'          47/96
BA    2   CR     1+1/2   TR  3   CH  3   NT  Eb          47/96
BA    2   CR     1+1/2   TR  4   CH  4   NT  Eb          47/96
BA    2   CR     1+1/2   TR  5   CH  5   NT  Bb---       23/96
BA    2   CR     1+1/2   TR  6   CH  6   NT  Bb---       23/96
BA    2   CR     1+1/2   TR  7   CH  7   NT  C'          47/96
BA    2   CR     1+1/2   TR  8   CH  8   NT  Eb          23/96
BA    2   CR     1+1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    2   CR     1+3/4   TR  5   CH  5   NT  Bb---       23/96
BA    2   CR     1+3/4   TR  6   CH  6   NT  Bb---       23/96
BA    2   CR     1+3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    2   CR         2   TR  5   CH  5   NT  Bb---       47/96
BA    2   CR         2   TR  6   CH  6   NT  Bb---       47/96
BA    2   CR         2   TR 10   CH 10   NT  F#--        23/96   von=100
BA    2   CR         2   TR 10   CH 10   NT  C--         95/96   von=93
BA    2   CR     2+1/2   TR  1   CH  1   NT  C#'       1+47/96
BA    2   CR     2+1/2   TR  2   CH  2   NT  C#'       1+47/96
BA    2   CR     2+1/2   TR  3   CH  3   NT  F         1+47/96
BA    2   CR     2+1/2   TR  4   CH  4   NT  F         1+47/96
BA    2   CR     2+1/2   TR  5   CH  5   NT  Eb--        47/96
BA    2   CR     2+1/2   TR  6   CH  6   NT  Eb--        47/96
BA    2   CR     2+1/2   TR  7   CH  7   NT  C#'       1+47/96
BA    2   CR     2+1/2   TR  8   CH  8   NT  F         1+47/96
BA    2   CR     2+1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    2   CR     2+3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    2   CR         3   TR  5   CH  5   NT  F--         47/96
BA    2   CR         3   TR  6   CH  6   NT  F--         47/96
BA    2   CR         3   TR 10   CH 10   NT  F#--        23/96   von=100
BA    2   CR         3   TR 10   CH 10   NT  E--         95/96   von=127
BA    2   CR     3+1/2   TR  5   CH  5   NT  Bb--        47/96
BA    2   CR     3+1/2   TR  6   CH  6   NT  Bb--        47/96
BA    2   CR     3+1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    2   CR     3+3/4   TR 10   CH 10   NT  F#--        23/96   von=81

BA    3   CR         0   TR  1   CH  1   NT  C'          47/96
BA    3   CR         0   TR  2   CH  2   NT  C'          47/96
BA    3   CR         0   TR  3   CH  3   NT  Eb        1+47/96
BA    3   CR         0   TR  4   CH  4   NT  Eb        1+47/96
BA    3   CR         0   TR  5   CH  5   NT  C--         47/96
BA    3   CR         0   TR  6   CH  6   NT  C--         47/96
BA    3   CR         0   TR  7   CH  7   NT  C'          47/96
BA    3   CR         0   TR  8   CH  8   NT  Eb        1+47/96
BA    3   CR         0   TR 10   CH 10   NT  C--         95/96   von=93
BA    3   CR         0   TR 10   CH 10   NT  F#--        23/96   von=100
BA    3   CR       1/2   TR  1   CH  1   NT  C'          23/96
BA    3   CR       1/2   TR  2   CH  2   NT  C'          23/96
BA    3   CR       1/2   TR  5   CH  5   NT  C--         23/96
BA    3   CR       1/2   TR  6   CH  6   NT  C--         23/96
BA    3   CR       1/2   TR  7   CH  7   NT  C'          23/96
BA    3   CR       1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    3   CR       3/4   TR  1   CH  1   NT  C'          23/96
BA    3   CR       3/4   TR  2   CH  2   NT  C'          23/96
BA    3   CR       3/4   TR  5   CH  5   NT  C--         23/96
BA    3   CR       3/4   TR  6   CH  6   NT  C--         23/96
BA    3   CR       3/4   TR  7   CH  7   NT  C'          23/96
BA    3   CR       3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    3   CR         1   TR  1   CH  1   NT  C'          47/96
BA    3   CR         1   TR  2   CH  2   NT  C'          47/96
BA    3   CR         1   TR  5   CH  5   NT  C--         47/96
BA    3   CR         1   TR  6   CH  6   NT  C--         47/96
BA    3   CR         1   TR  7   CH  7   NT  C'          47/96
BA    3   CR         1   TR 10   CH 10   NT  F#--        23/96   von=100
BA    3   CR         1   TR 10   CH 10   NT  E--         95/96   von=127
BA    3   CR     1+1/2   TR  1   CH  1   NT  C#'         47/96
BA    3   CR     1+1/2   TR  2   CH  2   NT  C#'         47/96
BA    3   CR     1+1/2   TR  3   CH  3   NT  F           47/96
BA    3   CR     1+1/2   TR  4   CH  4   NT  F           47/96
BA    3   CR     1+1/2   TR  5   CH  5   NT  C--         23/96
BA    3   CR     1+1/2   TR  6   CH  6   NT  C--         23/96
BA    3   CR     1+1/2   TR  7   CH  7   NT  C#'         47/96
BA    3   CR     1+1/2   TR  8   CH  8   NT  F           23/96
BA    3   CR     1+1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    3   CR     1+3/4   TR  5   CH  5   NT  C--         23/96
BA    3   CR     1+3/4   TR  6   CH  6   NT  C--         23/96
BA    3   CR     1+3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    3   CR         2   TR  5   CH  5   NT  C--         47/96
BA    3   CR         2   TR  6   CH  6   NT  C--         47/96
BA    3   CR         2   TR 10   CH 10   NT  F#--        23/96   von=100
BA    3   CR         2   TR 10   CH 10   NT  C--         95/96   von=93
BA    3   CR     2+1/2   TR  1   CH  1   NT  Eb'       1+47/96
BA    3   CR     2+1/2   TR  2   CH  2   NT  Eb'       1+47/96
BA    3   CR     2+1/2   TR  3   CH  3   NT  F#        1+47/96
BA    3   CR     2+1/2   TR  4   CH  4   NT  F#        1+47/96
BA    3   CR     2+1/2   TR  5   CH  5   NT  F--         47/96
BA    3   CR     2+1/2   TR  6   CH  6   NT  F--         47/96
BA    3   CR     2+1/2   TR  7   CH  7   NT  Eb'       1+47/96
BA    3   CR     2+1/2   TR  8   CH  8   NT  F#        1+47/96
BA    3   CR     2+1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    3   CR     2+3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    3   CR         3   TR  5   CH  5   NT  G#--        47/96
BA    3   CR         3   TR  6   CH  6   NT  G#--        47/96
BA    3   CR         3   TR 10   CH 10   NT  F#--        23/96   von=100
BA    3   CR         3   TR 10   CH 10   NT  E--         95/96   von=127
BA    3   CR     3+1/2   TR  5   CH  5   NT  C-          47/96
BA    3   CR     3+1/2   TR  6   CH  6   NT  C-          47/96
BA    3   CR     3+1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    3   CR     3+3/4   TR 10   CH 10   NT  F#--        23/96   von=81

BA    4   CR         0   TR  1   CH  1   NT  C#'         47/96
BA    4   CR         0   TR  2   CH  2   NT  C#'         47/96
BA    4   CR         0   TR  3   CH  3   NT  F         1+47/96
BA    4   CR         0   TR  4   CH  4   NT  F         1+47/96
BA    4   CR         0   TR  5   CH  5   NT  C#--        47/96
BA    4   CR         0   TR  6   CH  6   NT  C#--        47/96
BA    4   CR         0   TR  7   CH  7   NT  C#'         47/96
BA    4   CR         0   TR  8   CH  8   NT  F         1+47/96
BA    4   CR         0   TR 10   CH 10   NT  C--         95/96   von=93
BA    4   CR         0   TR 10   CH 10   NT  F#--        23/96   von=100
BA    4   CR       1/2   TR  1   CH  1   NT  C#'         23/96
BA    4   CR       1/2   TR  2   CH  2   NT  C#'         23/96
BA    4   CR       1/2   TR  5   CH  5   NT  C#--        23/96
BA    4   CR       1/2   TR  6   CH  6   NT  C#--        23/96
BA    4   CR       1/2   TR  7   CH  7   NT  C#'         23/96
BA    4   CR       1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    4   CR       3/4   TR  1   CH  1   NT  C#'         23/96
BA    4   CR       3/4   TR  2   CH  2   NT  C#'         23/96
BA    4   CR       3/4   TR  5   CH  5   NT  C#--        23/96
BA    4   CR       3/4   TR  6   CH  6   NT  C#--        23/96
BA    4   CR       3/4   TR  7   CH  7   NT  C#'         23/96
BA    4   CR       3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    4   CR         1   TR  1   CH  1   NT  C#'         47/96
BA    4   CR         1   TR  2   CH  2   NT  C#'         47/96
BA    4   CR         1   TR  5   CH  5   NT  C#--        47/96
BA    4   CR         1   TR  6   CH  6   NT  C#--        47/96
BA    4   CR         1   TR  7   CH  7   NT  C#'         47/96
BA    4   CR         1   TR 10   CH 10   NT  F#--        23/96   von=100
BA    4   CR         1   TR 10   CH 10   NT  E--         95/96   von=127
BA    4   CR     1+1/2   TR  1   CH  1   NT  Eb'         47/96
BA    4   CR     1+1/2   TR  2   CH  2   NT  Eb'         47/96
BA    4   CR     1+1/2   TR  3   CH  3   NT  F#          47/96
BA    4   CR     1+1/2   TR  4   CH  4   NT  F#          47/96
BA    4   CR     1+1/2   TR  5   CH  5   NT  C#--        23/96
BA    4   CR     1+1/2   TR  6   CH  6   NT  C#--        23/96
BA    4   CR     1+1/2   TR  7   CH  7   NT  Eb'         47/96
BA    4   CR     1+1/2   TR  8   CH  8   NT  F#          23/96
BA    4   CR     1+1/2   TR 10   CH 10   NT  F#--        23/96   von=66
BA    4   CR     1+3/4   TR  5   CH  5   NT  C#--        23/96
BA    4   CR     1+3/4   TR  6   CH  6   NT  C#--        23/96
BA    4   CR     1+3/4   TR 10   CH 10   NT  F#--        23/96   von=81
BA    4   CR         2   TR  5   CH  5   NT  C#--        47/96
BA    4   CR         2   TR  6   CH  6   NT  C#--        47/96
BA    4   CR         2   TR 10   CH 10   NT  F#--        23/96   von=100
BA    4   CR         2   TR 10   CH 10   NT  C--         95/96   von=93
