format=1 tracks=8 division=480

BA    1   CR         0   TR  4   CH  4   Channel volume 88
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &68
BA    1   CR         0   TR  4   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  4   CH  4   NT  D--      15+23/24   von=79   voff=80
BA    1   CR         0   TR  5   CH 16   Text type 3: "Choir"
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &01
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &26 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &02
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  5   CH  5   Instrument 53
BA    1   CR         0   TR  5   CH  5   ST &B4 &00 &00
BA    1   CR         0   TR  5   CH  5   Channel volume 88
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &5D &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5C &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5F &00
BA    1   CR         0   TR  5   CH  5   NT  D'       15+23/24   von=47   voff=80
BA    1   CR         0   TR  5   CH  5   NT  A        15+23/24   voff=80
BA    1   CR         0   TR  6   CH 16   Text type 3: "Horn"
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &26 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &02
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   Instrument 61
BA    1   CR         0   TR  6   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  6   CH  6   Channel volume 80
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &5D &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5C &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5F &00
BA    1   CR         0   TR  7   CH 16   Text type 3: "Oboe solo"
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &01
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &26 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &02
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  7   CH  7   Instrument 69
BA    1   CR         0   TR  7   CH  7   ST &B6 &00 &00
BA    1   CR         0   TR  7   CH  7   Channel volume 112
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &5D &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5C &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5F &00
BA    1   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80

BA    2   CR         0   TR  6   CH  6   NT  F           3+3/8   von=63   voff=80

BA    3   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA    3   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80

BA    4   CR         0   TR  6   CH  6   NT  F         1+23/24   voff=80
BA    4   CR         2   TR  6   CH  6   NT  D         1+23/24   voff=80

BA    5   CR         0   TR  1   CH  1   NT  E'       15+23/24   voff=80
BA    5   CR         0   TR  1   CH  1   NT  C#'      15+23/24   voff=80
BA    5   CR         0   TR  1   CH  1   NT  C'       15+23/24   voff=80
BA    5   CR         0   TR  2   CH  2   NT  D-          23/24   voff=80
BA    5   CR         0   TR  3   CH  3   NT  E-       15+23/24   voff=80
BA    5   CR         0   TR  4   CH  4   NT  E--      15+23/24   von=95   voff=80
BA    5   CR         0   TR  5   CH  5   NT  A        15+23/24   von=95   voff=80
BA    5   CR         0   TR  5   CH  5   NT  F        15+23/24   voff=80
BA    5   CR         0   TR  6   CH  6   NT  F         3+23/24   voff=80

BA    6   CR         0   TR  6   CH  6   NT  C         3+23/24   voff=80

BA    7   CR         0   TR  6   CH  6   NT  A-        7+23/24   voff=80

BA    9   CR         0   TR  1   CH  1   NT  F'       15+23/24   voff=80
BA    9   CR         0   TR  1   CH  1   NT  D'       15+23/24   voff=80
BA    9   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA    9   CR         0   TR  3   CH  3   NT  D-       15+23/24   voff=80
BA    9   CR         0   TR  4   CH  4   NT  D--      15+23/24   von=79   voff=80
BA    9   CR         0   TR  5   CH  5   NT  D'       15+23/24   von=47   voff=80
BA    9   CR         0   TR  5   CH  5   NT  A        15+23/24   voff=80
BA    9   CR         1   TR  7   CH  7   NT  C#'       1+23/24   von=95   voff=80
BA    9   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80
BA    9   CR         3   TR  7   CH  7   NT  A           11/24   voff=80
BA    9   CR     3+1/2   TR  7   CH  7   NT  F           11/24   voff=80

BA   10   CR         0   TR  6   CH  6   NT  F           3+3/8   voff=80
BA   10   CR         0   TR  7   CH  7   NT  E         2+23/24   voff=80
BA   10   CR         3   TR  7   CH  7   NT  D           11/24   voff=80
BA   10   CR     3+1/2   TR  7   CH  7   NT  F           11/24   voff=80

BA   11   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA   11   CR         0   TR  7   CH  7   NT  E         1+11/24   voff=80
BA   11   CR     1+1/2   TR  7   CH  7   NT  D           11/24   voff=80
BA   11   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80
BA   11   CR         2   TR  7   CH  7   NT  E         3+23/24   voff=80

BA   12   CR         0   TR  6   CH  6   NT  F         1+23/24   voff=80
BA   12   CR         2   TR  6   CH  6   NT  D         1+23/24   voff=80
BA   12   CR         3   TR  7   CH  7   NT  D           11/24   voff=80
BA   12   CR     3+1/2   TR  7   CH  7   NT  F           11/24   voff=80

BA   13   CR         0   TR  1   CH  1   NT  E'       15+23/24   voff=80
BA   13   CR         0   TR  1   CH  1   NT  C#'      15+23/24   voff=80
BA   13   CR         0   TR  1   CH  1   NT  C'       15+23/24   voff=80
BA   13   CR         0   TR  2   CH  2   NT  D-          23/24   voff=80
BA   13   CR         0   TR  3   CH  3   NT  E-       15+23/24   voff=80
BA   13   CR         0   TR  4   CH  4   NT  E--      15+23/24   von=95   voff=80
BA   13   CR         0   TR  5   CH  5   NT  A        15+23/24   von=95   voff=80
BA   13   CR         0   TR  5   CH  5   NT  F        15+23/24   voff=80
BA   13   CR         0   TR  6   CH  6   NT  F         3+23/24   voff=80
BA   13   CR         0   TR  7   CH  7   NT  E         1+11/24   voff=80
BA   13   CR     1+1/2   TR  7   CH  7   NT  D           11/24   voff=80
BA   13   CR         2   TR  7   CH  7   NT  E         4+23/24   voff=80

BA   14   CR         0   TR  6   CH  6   NT  C         3+23/24   voff=80

BA   15   CR         0   TR  6   CH  6   NT  A-        7+23/24   voff=80

BA   17   CR         0   TR  1   CH  1   NT  F'       15+23/24   voff=80
BA   17   CR         0   TR  1   CH  1   NT  D'       15+23/24   voff=80
BA   17   CR         0   TR  2   CH  2   NT  F--         23/24   voff=80
BA   17   CR         0   TR  3   CH  3   NT  D-       15+23/24   voff=80
BA   17   CR         0   TR  4   CH  4   NT  D--      15+23/24   von=79   voff=80
BA   17   CR         0   TR  5   CH  5   NT  D'       15+23/24   von=47   voff=80
BA   17   CR         0   TR  5   CH  5   NT  A        15+23/24   voff=80
BA   17   CR         1   TR  7   CH  7   NT  C#'       1+23/24   voff=80
BA   17   CR         2   TR  2   CH  2   NT  F--         23/24   voff=80
BA   17   CR         3   TR  7   CH  7   NT  A           11/24   voff=80
BA   17   CR     3+1/2   TR  7   CH  7   NT  F           11/24   voff=80

BA   18   CR         0   TR  6   CH  6   NT  F           3+3/8   voff=80
