format=1 tracks=11 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "Mega Man 9 - Special Stage (XG) - Sequenced by Teck"
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &03
BA    1   CR         0   TR  5   CH  5   ST &B4 &26 &10
BA    1   CR         0   TR  6   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  6   CH 16   Text type 3: "Solo Sine (main)"
BA    1   CR         0   TR  6   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &20 &41
BA    1   CR         0   TR  6   CH  6   Instrument 81
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &46
BA    1   CR         0   TR  6   CH  6   ST &B5 &5D &28
BA    1   CR         0   TR  6   CH  6   ST &B5 &01 &23
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &46
BA    1   CR         0   TR  6   CH  6   ST &B5 &4A &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &03
BA    1   CR         0   TR  6   CH  6   ST &B5 &26 &74
BA    1   CR         0   TR  6   CH  6   ST &B5 &63 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &62 &08
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &55
BA    1   CR         0   TR  6   CH  6   ST &B5 &26 &78
BA    1   CR         0   TR  6   CH  6   ST &B5 &63 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &62 &09
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &4E
BA    1   CR         0   TR  6   CH  6   ST &B5 &26 &10
BA    1   CR         0   TR  6   CH  6   ST &B5 &63 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &62 &0A
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &4A
BA    1   CR         0   TR  6   CH  6   ST &B5 &26 &1C
BA    1   CR         0   TR  6   CH  6   ST &B5 &54 &53
BA    1   CR         0   TR  6   CH  6   ST &B5 &05 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &41 &7F
BA    1   CR         0   TR  7   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  7   CH 16   Text type 3: "Solo Sine (delay)"
BA    1   CR         0   TR  7   CH  7   ST &B6 &00 &00
