format=1 tracks=9 division=96

BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  5   CH  7   Channel volume 100
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   Instrument 32
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  5   CH  7   Channel volume 100
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   Instrument 32
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  5   CH  7   Channel volume 100
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   Instrument 32
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI out #6"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 81
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 81
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 100
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 81
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI out #5"
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 127
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 127
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   Instrument 118
BA    1   CR         0   TR  7   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 127
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   Instrument 118
BA    1   CR         0   TR  7   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  7   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  7   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  7   CH  5   Channel volume 127
BA    1   CR         0   TR  7   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  7   CH  5   Instrument 118
BA    1   CR         0   TR  8   CH 16   Text type 3: "MIDI out #4"
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 125
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 125
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 125
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   Channel volume 125
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         2   TR  8   CH 10   NT  C--         47/96   von=100
BA    1   CR     2+1/2   TR  7   CH  5   NT  D''         23/96   von=100
BA    1   CR     2+1/2   TR  8   CH 10   NT  D--         47/96
BA    1   CR     2+3/4   TR  7   CH  5   NT  D''         23/96
BA    1   CR         3   TR  7   CH  5   NT  A'          23/96
BA    1   CR         3   TR  8   CH 10   NT  D--         47/96
BA    1   CR     3+1/4   TR  7   CH  5   NT  A'          23/96
BA    1   CR     3+1/2   TR  7   CH  5   NT  G           23/96
BA    1   CR     3+1/2   TR  8   CH 10   NT  D--         47/96
BA    1   CR     3+3/4   TR  7   CH  5   NT  G           23/96

BA    2   CR         0   TR  2   CH  1   NT  E         1+95/96   von=100
BA    2   CR         0   TR  4   CH  3   NT  E-          47/96   von=100
BA    2   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    2   CR         0   TR  8   CH 10   NT  C--         47/96   von=100
BA    2   CR       1/2   TR  4   CH  3   NT  E-          47/96
BA    2   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    2   CR       1/2   TR  8   CH 10   NT  C--         47/96   von=100
BA    2   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    2   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    2   CR     1+1/2   TR  4   CH  3   NT  G--         47/96
BA    2   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    2   CR         2   TR  2   CH  1   NT  B-          47/96
BA    2   CR         2   TR  4   CH  3   NT  D-          95/96
BA    2   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    2   CR     2+1/2   TR  2   CH  1   NT  D           95/96
BA    2   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    2   CR         3   TR  4   CH  3   NT  E-          47/96
BA    2   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    2   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    2   CR     3+1/2   TR  2   CH  1   NT  E           95/96
BA    2   CR     3+1/2   TR  4   CH  3   NT  B--         47/96
BA    2   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA    3   CR         0   TR  4   CH  3   NT  B--         47/96
BA    3   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    3   CR       1/2   TR  2   CH  1   NT  D           95/96
BA    3   CR       1/2   TR  4   CH  3   NT  B--         47/96
BA    3   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    3   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    3   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    3   CR     1+1/2   TR  2   CH  1   NT  E           95/96
BA    3   CR     1+1/2   TR  4   CH  3   NT  A--         47/96
BA    3   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    3   CR         2   TR  4   CH  3   NT  B--         95/96
BA    3   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    3   CR     2+1/2   TR  2   CH  1   NT  D           95/96
BA    3   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    3   CR         3   TR  4   CH  3   NT  D-          95/96
BA    3   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    3   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    3   CR     3+1/2   TR  2   CH  1   NT  B-          47/96
BA    3   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA    4   CR         0   TR  2   CH  1   NT  B-        1+95/96
BA    4   CR         0   TR  4   CH  3   NT  C-          47/96
BA    4   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    4   CR       1/2   TR  4   CH  3   NT  C-          95/96
BA    4   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    4   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    4   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    4   CR     1+1/2   TR  4   CH  3   NT  C-          47/96
BA    4   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    4   CR         2   TR  2   CH  1   NT  G-          47/96
BA    4   CR         2   TR  4   CH  3   NT  B--         95/96
BA    4   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    4   CR     2+1/2   TR  2   CH  1   NT  A-          95/96
BA    4   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    4   CR         3   TR  4   CH  3   NT  G--         47/96
BA    4   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    4   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    4   CR     3+1/2   TR  2   CH  1   NT  B-          95/96
BA    4   CR     3+1/2   TR  4   CH  3   NT  B--         47/96
BA    4   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA    5   CR         0   TR  4   CH  3   NT  B--         47/96
BA    5   CR         0   TR  8   CH 10   NT  A           47/96   von=68
BA    5   CR       1/2   TR  2   CH  1   NT  D           95/96
BA    5   CR       1/2   TR  4   CH  3   NT  F#--        47/96
BA    5   CR       1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    5   CR         1   TR  8   CH 10   NT  A           47/96   von=68
BA    5   CR         1   TR  8   CH 10   NT  D--         47/96   von=100
BA    5   CR     1+1/2   TR  2   CH  1   NT  E           95/96
BA    5   CR     1+1/2   TR  4   CH  3   NT  A--         47/96
BA    5   CR     1+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    5   CR         2   TR  4   CH  3   NT  B--         95/96
BA    5   CR         2   TR  8   CH 10   NT  A           47/96   von=68
BA    5   CR     2+1/2   TR  2   CH  1   NT  D         1+47/96
BA    5   CR     2+1/2   TR  8   CH 10   NT  A           47/96   von=48
BA    5   CR         3   TR  4   CH  3   NT  D-          95/96
BA    5   CR         3   TR  8   CH 10   NT  A           47/96   von=68
BA    5   CR         3   TR  8   CH 10   NT  D--         47/96   von=100
BA    5   CR     3+1/2   TR  8   CH 10   NT  A           47/96   von=48

BA    6   CR         0   TR  2   CH  1   NT  E         1+95/96
BA    6   CR         0   TR  4   CH  3   NT  E-          47/96
