format=1 tracks=9 division=96

BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 16
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI out #3"
BA    1   CR         0   TR  6   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  6   CH  3   Channel volume 100
BA    1   CR         0   TR  6   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  6   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  6   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  6   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  6   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  6   CH  3   Channel volume 100
BA    1   CR         0   TR  6   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  6   CH  3   Instrument 22
BA    1   CR         0   TR  6   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  6   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  6   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  6   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  6   CH  3   Channel volume 100
BA    1   CR         0   TR  6   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  6   CH  3   Instrument 22
BA    1   CR         0   TR  6   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  6   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  6   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  6   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  6   CH  3   Channel volume 100
BA    1   CR         0   TR  6   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  6   CH  3   Instrument 22
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI out #4"
BA    1   CR         0   TR  7   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  7   CH  4   Channel volume 100
BA    1   CR         0   TR  7   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  7   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  7   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  7   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  7   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  7   CH  4   Channel volume 100
BA    1   CR         0   TR  7   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  7   CH  4   Instrument 10
BA    1   CR         0   TR  7   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  7   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  7   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  7   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  7   CH  4   Channel volume 100
BA    1   CR         0   TR  7   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  7   CH  4   Instrument 10
BA    1   CR         0   TR  7   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  7   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  7   CH  4   ST &B3 &06 &0C
