format=1 tracks=6 division=256

BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &02
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &02
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &26 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &01
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  3   CH  1   ST &B0 &26 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &01
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  3   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  3   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  3   CH  1   Instrument 3
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  3   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  4   CH  3   Instrument 49
BA    1   CR         0   TR  4   CH  3   ST &B2 &79 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &40 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5B &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  4   CH  3   Channel volume 89
BA    1   CR         0   TR  4   CH 16   Text type 3: "Viola"
BA    1   CR         0   TR  4   CH  3   ST &B2 &5F &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5F &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5C &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5C &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5B &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5D &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5D &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &68
BA    1   CR         0   TR  4   CH  3   Channel volume 56
BA    1   CR         0   TR  4   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &02
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &02
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &26 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &01
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &0C
