format=1 tracks=8 division=192

BA    6   CR     1+1/2   TR  6   CH  8   NT  E''           1/2
BA    6   CR   1+25/48   TR  3   CH  2   NT  D-          15/32
BA    6   CR         2   TR  1   CH  3   NT  F#          1+1/2
BA    6   CR         2   TR  3   CH  2   NT  D-         95/192
BA    6   CR   2+25/48   TR  3   CH  2   NT  D-          15/32
BA    6   CR 2+109/192   TR  6   CH  8   NT  Eb''        11/24
BA    6   CR         3   TR  2   CH 10   NT  D--             1
BA    6   CR         3   TR  3   CH  2   NT  D-         95/192
BA    6   CR     3+1/2   TR  1   CH  3   NT  G#          1+1/2
BA    6   CR     3+1/2   TR  6   CH  8   NT  B'              2
BA    6   CR   3+25/48   TR  3   CH  2   NT  D-          15/32

BA    7   CR         0   TR  3   CH  2   NT  D-         95/192
BA    7   CR     25/48   TR  3   CH  2   NT  D-          15/32
BA    7   CR         1   TR  1   CH  3   NT  F#            1/2
BA    7   CR         1   TR  3   CH  2   NT  D-         95/192
BA    7   CR    1+1/48   TR  2   CH 10   NT  D--             1
BA    7   CR     1+1/2   TR  1   CH  3   NT  G#            1/2
BA    7   CR   1+25/48   TR  3   CH  2   NT  D-          15/32
BA    7   CR         2   TR  1   CH  3   NT  A           1+1/2
BA    7   CR         2   TR  2   CH 10   NT  C#-             1
BA    7   CR         2   TR  3   CH  2   NT  C#-        95/192
BA    7   CR   2+25/48   TR  3   CH  2   NT  C#-         15/32
BA    7   CR         3   TR  2   CH 10   NT  D--             1
BA    7   CR         3   TR  3   CH  2   NT  C#-        95/192
BA    7   CR         3   TR  6   CH  8   NT  C#''          1/2
BA    7   CR     3+1/2   TR  1   CH  3   NT  G#          1+1/2
BA    7   CR   3+25/48   TR  3   CH  2   NT  C#-           1/2

BA    8   CR         0   TR  3   CH  2   NT  B--           1/2
BA    8   CR      1/96   TR  6   CH  8   NT  C#''          1/2
BA    8   CR       1/2   TR  6   CH  8   NT  B'            1/2
BA    8   CR   101/192   TR  3   CH  2   NT  B--         15/32
BA    8   CR         1   TR  1   CH  3   NT  E       4+191/192
BA    8   CR         1   TR  2   CH 10   NT  D--             1
BA    8   CR         1   TR  3   CH  2   NT  B--        95/192
BA    8   CR     1+1/2   TR  6   CH  8   NT  C#''          1/2
BA    8   CR   1+25/48   TR  3   CH  2   NT  B--         15/32
BA    8   CR         2   TR  3   CH  2   NT  A--        95/192
