format=1 tracks=5 division=480

BA    1   CR         0   TR  2   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  2   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &5C &00
BA    1   CR         0   TR  2   CH  5   ST &B4 &5C &00
BA    1   CR         0   TR  2   CH  6   ST &B5 &5F &00
BA    1   CR         0   TR  2   CH  5   ST &B4 &5F &00
BA    1   CR         0   TR  3   CH 16   Text type 3: "Rhythm Guitar"
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  3   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &01
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  3   CH  4   ST &B3 &26 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &01
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &26 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &02
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &02
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  3   CH  4   Instrument 31
BA    1   CR         0   TR  3   CH  3   Instrument 31
BA    1   CR         0   TR  3   CH  4   ST &B3 &00 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  3   CH  4   Channel volume 104
BA    1   CR         0   TR  3   CH  3   Channel volume 104
BA    1   CR         0   TR  3   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &5D &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &5B &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &5C &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &5F &00
BA    1   CR         0   TR  3   CH  3   Instrument 86
BA    1   CR         0   TR  3   CH  4   Instrument 86
BA    1   CR         0   TR  3   CH  3   Channel volume 32
BA    1   CR         0   TR  3   CH  4   Channel volume 32
BA    1   CR         0   TR  3   CH  3   NT  G'              1   von=95   voff=80
BA    1   CR         0   TR  4   CH 16   Text type 3: "Percussion"
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  4   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &01
BA    1   CR         0   TR  4   CH 10   ST &B9 &06 &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &26 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &7F
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &7F
BA    1   CR         0   TR  4   CH 10   Instrument 1
BA    1   CR         0   TR  4   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  4   CH 10   Channel volume 80
BA    1   CR         0   TR  4   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &5D &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5C &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5F &00
BA    1   CR         1   TR  1   CH  1   NT  F'            1/2   voff=80
BA    1   CR         1   TR  3   CH  3   NT  F'            1/2   voff=80
BA    1   CR     1+1/2   TR  1   CH  1   NT  Eb'           1/2   voff=80
BA    1   CR     1+1/2   TR  3   CH  3   NT  Eb'           1/2   voff=80
BA    1   CR         2   TR  1   CH  1   NT  D'            1/2   voff=80
BA    1   CR         2   TR  1   CH  1   NT  C               1   voff=80
BA    1   CR         2   TR  1   CH  1   NT  C-              1   voff=80
BA    1   CR         2   TR  3   CH  3   NT  D'            1/2   voff=80
BA    1   CR     2+1/2   TR  1   CH  1   NT  Bb            1/2   voff=80
BA    1   CR     2+1/2   TR  3   CH  3   NT  Bb            1/2   voff=80
BA    1   CR         3   TR  1   CH  1   NT  G               1   voff=80
BA    1   CR         3   TR  3   CH  3   NT  G               1   voff=80

BA    2   CR         0   TR  1   CH  1   NT  C'            1/2   voff=80
BA    2   CR         0   TR  1   CH  1   NT  F-              1   voff=80
BA    2   CR         0   TR  1   CH  1   NT  F--             1   voff=80
BA    2   CR         0   TR  3   CH  3   NT  C'            1/2   voff=80
BA    2   CR       1/2   TR  1   CH  1   NT  D'            1/2   voff=80
BA    2   CR       1/2   TR  3   CH  3   NT  D'            1/2   voff=80
BA    2   CR         1   TR  1   CH  1   NT  Eb'           1/2   voff=80
BA    2   CR         1   TR  3   CH  3   NT  Eb'           1/2   voff=80
BA    2   CR     1+1/2   TR  1   CH  1   NT  F'            1/2   voff=80
BA    2   CR     1+1/2   TR  3   CH  3   NT  F'            1/2   voff=80
BA    2   CR         2   TR  1   CH  1   NT  D'              2   voff=80
BA    2   CR         2   TR  1   CH  1   NT  G-              1   voff=80
BA    2   CR         2   TR  1   CH  1   NT  G--             1   voff=80
BA    2   CR         2   TR  3   CH  3   NT  D'              2   voff=80

BA    3   CR         0   TR  1   CH  1   Instrument 82
BA    3   CR         0   TR  1   CH  2   Instrument 82
BA    3   CR         0   TR  1   CH  1   Channel volume 80
BA    3   CR         0   TR  1   CH  2   Channel volume 80
BA    3   CR         0   TR  1   CH  1   NT  G'              1   voff=80
BA    3   CR         0   TR  3   CH  3   Instrument 31
BA    3   CR         0   TR  3   CH  4   Instrument 31
BA    3   CR         0   TR  3   CH  3   Channel volume 96
BA    3   CR         0   TR  3   CH  4   Channel volume 96
BA    3   CR         0   TR  3   CH  3   NT  C-              8   voff=80
BA    3   CR         0   TR  3   CH  3   NT  G--             8   voff=80
BA    3   CR         0   TR  3   CH  3   NT  C--             8   voff=80
