format=1 tracks=4 division=192

BA    3   CR     3+3/4   TR  2   CH  1   NT  E'            1/4   voff=0
BA    3   CR     3+3/4   TR  2   CH  1   NT  E''           1/4   voff=0
BA    3   CR     3+3/4   TR  3   CH 10   NT  A             1/4   voff=0

BA    4   CR         0   TR  2   CH  1   NT  E               1   voff=0
BA    4   CR         0   TR  2   CH  1   NT  E'            1/4   voff=0
BA    4   CR         0   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR       1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    4   CR       1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    4   CR       1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    4   CR       1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    4   CR       1/2   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR       3/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    4   CR       3/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    4   CR       3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR         1   TR  2   CH  1   NT  B-              1   voff=0
BA    4   CR         1   TR  2   CH  1   NT  B             1/4   voff=0
BA    4   CR         1   TR  2   CH  1   NT  B'            1/4   voff=0
BA    4   CR         1   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR     1+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    4   CR     1+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    4   CR     1+1/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR     1+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    4   CR     1+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    4   CR     1+3/4   TR  2   CH  1   NT  E'            1/4   voff=0
BA    4   CR     1+3/4   TR  2   CH  1   NT  E''           1/4   voff=0
BA    4   CR     1+3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR         2   TR  2   CH  1   NT  E               1   voff=0
BA    4   CR         2   TR  2   CH  1   NT  E'            1/4   voff=0
BA    4   CR         2   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR     2+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    4   CR     2+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    4   CR     2+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    4   CR     2+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    4   CR     2+1/2   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR     2+3/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    4   CR     2+3/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    4   CR     2+3/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR         3   TR  2   CH  1   NT  B-              1   voff=0
BA    4   CR         3   TR  2   CH  1   NT  B             1/4   voff=0
BA    4   CR         3   TR  2   CH  1   NT  B'            1/4   voff=0
BA    4   CR         3   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR     3+1/4   TR  2   CH  1   NT  G#            1/4   voff=0
BA    4   CR     3+1/4   TR  2   CH  1   NT  G#'           1/4   voff=0
BA    4   CR     3+1/4   TR  3   CH 10   NT  A             1/4   voff=0
BA    4   CR     3+1/2   TR  2   CH  1   NT  B             1/4   voff=0
BA    4   CR     3+1/2   TR  2   CH  1   NT  B'            1/4   voff=0
BA    4   CR     3+3/4   TR  2   CH  1   NT  E'            1/4   voff=0
BA    4   CR     3+3/4   TR  2   CH  1   NT  E''           1/4   voff=0
BA    4   CR     3+3/4   TR  3   CH 10   NT  A             1/4   voff=0

BA    5   CR         0   TR  2   CH 16   End of track
BA    5   CR         0   TR  3   CH 16   End of track
# Successfully parsed
# Duration = 6.62069 seconds
