format=1 tracks=8 division=192

BA    2   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    2   CR     1+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     1+1/2   TR  1   CH  1   NT  A-            1/2   voff=0
BA    2   CR     1+1/2   TR  2   CH  2   NT  C             1/4   voff=0
BA    2   CR     1+1/2   TR  5   CH  5   NT  A-            1/2   voff=0
BA    2   CR     1+3/4   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR     1+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR         2   TR  1   CH  1   NT  G-            1/2   voff=0
BA    2   CR         2   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR         2   TR  5   CH  5   NT  G-            1/2   voff=0
BA    2   CR         2   TR  7   CH 10   NT  B---          1/4   voff=0
BA    2   CR     2+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     2+1/2   TR  1   CH  1   NT  E-            1/2   voff=0
BA    2   CR     2+1/2   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR     2+1/2   TR  5   CH  5   NT  E-            1/2   voff=0
BA    2   CR     2+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     2+3/4   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR     2+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR         3   TR  1   CH  1   NT  G-            1/2   voff=0
BA    2   CR         3   TR  2   CH  2   NT  C             1/4   voff=0
BA    2   CR         3   TR  5   CH  5   NT  G-            1/2   voff=0
BA    2   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    2   CR         3   TR  7   CH 10   NT  G---          1/4   voff=0
BA    2   CR         3   TR  7   CH 10   NT  D--           1/4   voff=0
BA    2   CR         3   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     3+1/4   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR     3+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     3+1/2   TR  1   CH  1   NT  G#-           1/2   voff=0
BA    2   CR     3+1/2   TR  2   CH  2   NT  C             1/4   voff=0
BA    2   CR     3+1/2   TR  5   CH  5   NT  G#-           1/2   voff=0
BA    2   CR     3+1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    2   CR     3+3/4   TR  2   CH  2   NT  C-            1/4   voff=0
BA    2   CR     3+3/4   TR  7   CH 10   NT  G#--          1/4   voff=0

BA    3   CR         0   TR  1   CH  1   NT  A-            1/2   voff=0
BA    3   CR         0   TR  2   CH  2   NT  D-            1/4   voff=0
BA    3   CR         0   TR  3   CH  3   NT  A               4   voff=0
BA    3   CR         0   TR  4   CH  4   NT  A               4   voff=0
BA    3   CR         0   TR  5   CH  5   NT  A-            1/2   voff=0
BA    3   CR         0   TR  7   CH 10   NT  B---          1/4   voff=0
BA    3   CR       1/4   TR  2   CH  2   NT  D             1/4   voff=0
BA    3   CR       1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    3   CR       1/2   TR  2   CH  2   NT  D-            1/2   voff=0
BA    3   CR       1/2   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    3   CR       3/4   TR  7   CH 10   NT  G#--          1/4   voff=0
BA    3   CR         1   TR  1   CH  1   NT  A-            1/2   voff=0
BA    3   CR         1   TR  2   CH  2   NT  D-            1/4   voff=0
BA    3   CR         1   TR  5   CH  5   NT  A-            1/2   voff=0
BA    3   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    3   CR         1   TR  7   CH 10   NT  G---          1/4   voff=0
BA    3   CR         1   TR  7   CH 10   NT  D--           1/4   voff=0
BA    3   CR     1+1/4   TR  7   CH 10   NT  G#--          1/4   voff=0
