format=1 tracks=11 division=96

BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   Instrument 23
BA    1   CR         0   TR  4   CH  3   Channel volume 78
BA    1   CR         0   TR  5   CH 16   Text type 3: "Banjo #1"
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &5D
BA    1   CR         0   TR  5   CH  4   Channel volume 96
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &5D
BA    1   CR         0   TR  5   CH  4   Channel volume 96
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  4   Instrument 106
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &5D
BA    1   CR         0   TR  5   CH  4   Channel volume 96
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  4   Instrument 106
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &5D
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  4   Instrument 106
BA    1   CR         0   TR  5   CH  4   Channel volume 96
BA    1   CR         0   TR  5   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  5   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &5D
BA    1   CR         0   TR  5   CH  4   Channel volume 96
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  4   Instrument 106
BA    1   CR         0   TR  5   CH  4   ST &B3 &0A &5D
BA    1   CR         0   TR  5   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  5   CH  4   Instrument 106
BA    1   CR         0   TR  5   CH  4   Channel volume 96
BA    1   CR         0   TR  6   CH 16   Text type 3: "Accordian"
BA    1   CR         0   TR  6   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  6   CH  5   Channel volume 96
BA    1   CR         0   TR  6   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  6   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  6   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  6   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  6   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  6   CH  5   Channel volume 96
BA    1   CR         0   TR  6   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  6   CH  5   Instrument 24
BA    1   CR         0   TR  6   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  6   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  6   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  6   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  6   CH  5   Channel volume 96
BA    1   CR         0   TR  6   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  6   CH  5   Instrument 24
BA    1   CR         0   TR  6   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  6   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  6   CH  5   Instrument 24
BA    1   CR         0   TR  6   CH  5   Channel volume 96
BA    1   CR         0   TR  6   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  6   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  6   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  6   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  6   CH  5   Channel volume 96
BA    1   CR         0   TR  6   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  6   CH  5   Instrument 24
BA    1   CR         0   TR  6   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  6   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  6   CH  5   Instrument 24
BA    1   CR         0   TR  6   CH  5   Channel volume 96
BA    1   CR         0   TR  7   CH 16   Text type 3: "Banjo #2"
BA    1   CR         0   TR  7   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  7   CH  6   Channel volume 59
BA    1   CR         0   TR  7   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  7   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  7   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  7   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  7   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  7   CH  6   Channel volume 59
BA    1   CR         0   TR  7   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  7   CH  6   Instrument 106
BA    1   CR         0   TR  7   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  7   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  7   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  7   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  7   CH  6   Channel volume 59
BA    1   CR         0   TR  7   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  7   CH  6   Instrument 106
BA    1   CR         0   TR  7   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  7   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  7   CH  6   Instrument 106
BA    1   CR         0   TR  7   CH  6   Channel volume 59
BA    1   CR         0   TR  7   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  7   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  7   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  7   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  7   CH  6   Channel volume 59
BA    1   CR         0   TR  7   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  7   CH  6   Instrument 106
BA    1   CR         0   TR  7   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  7   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  7   CH  6   Instrument 106
BA    1   CR         0   TR  7   CH  6   Channel volume 59
BA    1   CR         0   TR  8   CH 16   Text type 3: "Whistle 1"
BA    1   CR         0   TR  8   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  8   CH  7   Channel volume 73
BA    1   CR         0   TR  8   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  8   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  8   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  8   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  8   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  8   CH  7   Channel volume 73
BA    1   CR         0   TR  8   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  8   CH  7   Instrument 79
BA    1   CR         0   TR  8   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  8   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  8   CH  7   ST &B6 &06 &0C
