format=1 tracks=10 division=96

BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 102
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 88
BA    1   CR         0   TR  4   CH  4   Channel volume 102
BA    1   CR         0   TR  5   CH 16   Text type 3: "Synth Bass 1"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 102
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 102
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 39
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 102
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 39
BA    1   CR         0   TR  5   CH  5   Channel volume 102
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &40
BA    1   CR         0   TR  5   CH  5   Channel volume 102
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 39
BA    1   CR         0   TR  5   CH  5   Channel volume 102
BA    1   CR         0   TR  6   CH 16   Text type 3: "Synth Drum"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 102
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 102
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 119
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 102
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 119
BA    1   CR         0   TR  6   CH  6   Channel volume 102
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  6   CH  6   Channel volume 102
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 119
BA    1   CR         0   TR  6   CH  6   Channel volume 102
BA    1   CR         0   TR  7   CH 16   Text type 3: "Distortion Guitar"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 31
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 31
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 31
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  8   CH 16   Text type 3: "Distortion Guitar (echo)"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 65
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  8   CH  8   Channel volume 65
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 31
